OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
01	0	0	0.00000	0	01_L372.avi	145377	25.00000
2	0	0	0.00000	0	02_L378.avi	156191	25.00000
03	0	0	0.00000	0	03_L367.avi	137855	25.00000
04	0	0	0.00000	0	04_L373.avi	140208	25.00000
05	0	0	0.00000	0	05_L375.avi	133032	25.00000
05	1	0	0.00000	0	05_R376.avi	130836	25.00000
06	0	0	0.00000	0	06_L369.avi	134122	25.00000
07	0	0	0.00000	0	07_L564 (1).MP4	15930	29.97003
07	0	0	0.00000	0	07_L564 (2).MP4	15930	29.97003
07	0	0	0.00000	0	07_L564 (3).MP4	15930	29.97003
07	0	0	0.00000	0	07_L564 (4).MP4	15930	29.97003
07	0	0	0.00000	0	07_L564 (5).MP4	15930	29.97003
07	0	0	0.00000	0	07_L564 (6).MP4	15930	29.97003
07	0	0	0.00000	0	07_L564 (7).MP4	15930	29.97003
07	0	0	0.00000	0	07_L564 (8).MP4	15930	29.97003
07	0	0	0.00000	0	07_L564 (9).MP4	15930	29.97003
07	0	0	0.00000	0	07_L564 (10).MP4	505	29.97003
08	0	0	0.00000	0	08_L367.avi	103858	25.00000
09	0	0	0.00000	0	09_L369.avi	117060	25.00000
10	0	0	0.00000	0	10_L375.avi	85739	25.00000
10	1	0	0.00000	0	10_R376.avi	111995	25.00000
11	0	0	0.00000	0	11_L378.avi	109848	25.00000
12	0	0	0.00000	0	12_L367.avi	138669	25.00000
13	0	0	0.00000	0	13_L378.avi	119916	25.00000
13	1	0	0.00000	0	13_R377.avi	119916	25.00000
14	0	0	0.00000	0	14_L372.avi	102504	25.00000
15	0	0	0.00000	0	15_L372.avi	113327	25.00000
16	0	0	0.00000	0	16_L373.avi	111467	25.00000
16	1	0	0.00000	0	16_R374.avi	110255	25.00000
17	0	0	0.00000	0	17_L375.avi	116602	25.00000
18	0	0	0.00000	0	18_L369.avi	117740	25.00000
20	0	0	0.00000	0	20_L564 (1).MP4	31710	29.97003
20	0	0	0.00000	0	20_L564 (2).MP4	31710	29.97003
20	0	0	0.00000	0	20_L564 (3).MP4	31710	29.97003
20	0	0	0.00000	0	20_L564 (4).MP4	31710	29.97003
20	0	0	0.00000	0	20_L564 (5).MP4	7658	29.97003
21	0	0	0.00000	0	21_L369.avi	120821	25.00000
22	0	0	0.00000	0	22_L375.avi	122736	25.00000
23	0	0	0.00000	0	23_L373.avi	116387	25.00000
24	0	0	0.00000	0	24_L372.avi	121745	25.00000
25	0	0	0.00000	0	25_L378.avi	117762	25.00000
26	0	0	0.00000	0	26_L367.avi	116048	25.00000
27	0	0	0.00000	0	27_L367.avi	109007	25.00000
28	0	0	0.00000	0	28_L378.avi	117778	25.00000
29	0	0	0.00000	0	29_L372.avi	115031	25.00000
30	0	0	0.00000	0	30_L373.avi	119051	25.00000
31	0	0	0.00000	0	31_L375.avi	118643	25.00000
32	0	0	0.00000	0	32_L369.avi	123744	25.00000
33	0	0	0.00000	0	33_L564 (1).MP4	31710	29.97003
33	0	0	0.00000	0	33_L564 (2).MP4	31710	29.97003
33	0	0	0.00000	0	33_L564 (3).MP4	31710	29.97003
33	0	0	0.00000	0	33_L564 (4).MP4	31710	29.97003
33	0	0	0.00000	0	33_L564 (5).MP4	19923	29.97003
34	0	0	0.00000	0	34_L564 (1).MP4	31710	29.97003
34	0	0	0.00000	0	34_L564 (2).MP4	31710	29.97003
34	0	0	0.00000	0	34_L564 (3).MP4	31710	29.97003
34	0	0	0.00000	0	34_L564 (4).MP4	29368	29.97003
35	0	0	0.00000	0	35_L369.avi	107085	25.00000
36	0	0	0.00000	0	36_L375.avi	113508	25.00000
37	0	0	0.00000	0	37_L373.avi	114180	25.00000
38	0	0	0.00000	0	38_L372.avi	116544	25.00000
39	0	0	0.00000	0	39_L378.avi	118788	25.00000
40	0	0	0.00000	0	40_L367.avi	124440	25.00000
