OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
01	0	1	01_L372.avi	18441	12.29400				0
02	0	1	02_L378.avi	25119	16.74600				0
03	0	1	03_L367.avi	10447	6.96467				0
04	0	1	04_L373.avi	22003	14.66867				0
05	0	1	05_L375.avi	18050	12.03333				0
06	0	1	06_L369.avi	24359	16.23933				0
07	0	1	07_L564 (2).MP4	3875	11.01378	07_L564 (9).MP4	257	71.01372	1
08	0	1	08_L367.avi	7051	4.70067				0
09	0	1	09_L369.avi	13944	9.29600				0
10	0	1	10_L375.avi	5763	3.84200				0
11	0	1	11_L378.avi	8112	5.40800				0
12	0	1	12_L367.avi	3191	2.12733				0
13	0	1	13_L378.avi	6994	4.66267				0
14	0	1	14_L372.avi	8015	5.34333				0
15	0	1	15_L372.avi	14852	9.90133				0
16	0	1	16_L373.avi	8126	5.41733				0
17	0	1	17_L375.avi	7918	5.27867				0
18	0	1	18_L369.avi	4573	3.04867				0
20	0	1	20_L564 (1).MP4	15360	8.54187				0
21	0	1	21_L369.avi	17442	11.62800				0
22	0	1	22_L375.avi	17399	11.59933				0
23	0	1	23_L373.avi	9903	6.60200				0
24	0	1	24_L372.avi	12603	8.40200				0
25	0	1	25_L378.avi	8942	5.96133				0
26	0	1	26_L367.avi	10511	7.00733				0
27	0	1	27_L367.avi	5063	3.37533				0
28	0	1	28_L378.avi	11232	7.48800				0
29	0	1	29_L372.avi	5156	3.43733				0
30	0	1	30_L373.avi	8133	5.42200				0
31	0	1	31_L375.avi	5644	3.76267				0
32	0	1	32_L369.avi	9637	6.42467				0
33	0	1	33_L564 (1).MP4	8646	4.80814				0
34	0	1	34_L564 (1).MP4	5153	2.86564				0
35	0	1	35_L369.avi	6429	4.28600				0
36	0	1	36_L375.avi	8703	5.80200				0
37	0	1	37_L373.avi	5546	3.69733				0
38	0	1	38_L372.avi	5983	3.98867				0
39	0	1	39_L378.avi	4837	3.22467				0
40	0	1	40_L367.avi	6610	4.40667				0
