OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
01	1.08	2020 12 15 08:52:47	E:\	01.EMObs
2	1.08	2020 12 15 08:52:47	E:\	02.EMObs
03	1.08	2020 12 15 08:52:47	E:\	03.EMObs
04	1.08	2020 12 15 08:52:47	E:\	04.EMObs
05	1.08	2020 12 15 08:52:47	E:\	05.EMObs
06	1.08	2020 12 15 08:52:47	E:\	06.EMObs
07	1.08	2020 12 15 08:52:47	F:\20200602\07\	07.EMObs
08	1.08	2020 12 15 08:52:47	E:\	08.EMObs
09	1.08	2020 12 15 08:52:47	E:\	09.EMObs
10	1.08	2020 12 15 08:52:47	E:\	10.EMObs
11	1.08	2020 12 15 08:52:47	E:\	11.EMObs
12	1.08	2020 12 15 08:52:47	E:\	12.EMObs
13	1.08	2020 12 15 08:52:47	E:\	13.EMObs
14	1.08	2020 12 15 08:52:47	E:\	14.EMObs
15	1.08	2020 12 15 08:52:47	E:\	15.EMObs
16	1.08	2020 12 15 08:52:47	E:\	16.EMObs
17	1.08	2020 12 15 08:52:47	E:\	17.EMObs
18	1.08	2020 12 15 08:52:47	E:\	18.EMObs
20	1.08	2020 12 15 08:52:47	F:\20200603\20\	20.EMObs
21	1.08	2020 12 15 08:52:47	E:\	21.EMObs
22	1.08	2020 12 15 08:52:47	E:\	22.EMObs
23	1.08	2020 12 15 08:52:47	E:\	23.EMObs
24	1.08	2020 12 15 08:52:47	E:\	24.EMObs
25	1.08	2020 12 15 08:52:47	E:\	25.EMObs
26	1.08	2020 12 15 08:52:47	E:\	26.EMObs
27	1.08	2020 12 15 08:52:47	E:\	27.EMObs
28	1.08	2020 12 15 08:52:47	E:\	28.EMObs
29	1.08	2020 12 15 08:52:47	E:\	29.EMObs
30	1.08	2020 12 15 08:52:47	E:\	30.EMObs
31	1.08	2020 12 15 08:52:47	E:\	31.EMObs
32	1.08	2020 12 15 08:52:47	E:\	32.EMObs
33	1.08	2020 12 15 08:52:47	F:\20200603\33\	33.EMObs
34	1.08	2020 12 15 08:52:47	F:\20200603\34\	34.EMObs
35	1.08	2020 12 15 08:52:47	E:\	35.EMObs
36	1.08	2020 12 15 08:52:47	E:\	36.EMObs
37	1.08	2020 12 15 08:52:47	E:\	37.EMObs
38	1.08	2020 12 15 08:52:47	E:\	38.EMObs
39	1.08	2020 12 15 08:52:47	E:\	39.EMObs
40	1.08	2020 12 15 08:52:47	E:\	40.EMObs
