"campaignid","sample","family","genus","species"
"2020-06_south-west_stereo-BRUVs","01","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","02","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","09","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","10","Batrachoididae","Batrachomoeus","rubricephalus"
"2020-06_south-west_stereo-BRUVs","11","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","17","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","20","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","21","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","22","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","23","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","24","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","25","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","26","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","29","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","30","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","31","Mullidae","Upeneichthys","sp1"
"2020-06_south-west_stereo-BRUVs","31","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","33","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","34","Serranidae","Caesioperca","sp1"
"2020-06_south-west_stereo-BRUVs","36","Mullidae","Upeneichthys","sp1"
"2020-06_south-west_stereo-BRUVs","36","Serranidae","Caesioperca","sp1"
