"campaignid","sample","family","genus","species"
"2020-06_south-west_stereo-BRUVs","10","Batrachoididae","Batrachomoeus","rubricephalus"
"2020-10_south-west_stereo-BRUVs","FH111","Muraenesocidae","Oxyconger","leptognathus"
"2020-10_south-west_stereo-BRUVs","FH25","Citharidae","Lepidoblepharon","ophthalmolepis"
"2020-10_south-west_stereo-BRUVs","FH47","Unknown","Unknown","granulatus"
"2020-10_south-west_stereo-BRUVs","FH52","Unknown","Unknown","ramsayi"
"2020-10_south-west_stereo-BRUVs","IO105","Parascylliidae","Parascyllium","sparsimaculatum"
"2020-10_south-west_stereo-BRUVs","IO126","Blenniidae","Omobranchus","lineolatus"
"2020-10_south-west_stereo-BRUVs","IO155","Platycephalidae","Leviprora","inops"
"2020-10_south-west_stereo-BRUVs","IO280","Parascylliidae","Parascyllium","sparsimaculatum"
"2020-10_south-west_stereo-BRUVs","IO3","Scyliorhinidae","Cephaloscyllium","variegatum"
"2020-10_south-west_stereo-BRUVs","IO308","Carcharhinidae","Carcharhinus","albimarginatus"
"2020-10_south-west_stereo-BRUVs","IO349","Serranidae","Hyporthodus","octofasciatus"
"2020-10_south-west_stereo-BRUVs","IO353","Unknown","Unknown","vlamingii"
"2020-10_south-west_stereo-BRUVs","IO80","Unknown","Unknown","vlamingii"
"2020-10_south-west_stereo-BRUVs","IO81","Unknown","Unknown","vlamingii"
