"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Carangidae","Seriola","lalandi",19.574,27.131,12.017,81.34,94.79,108.24
"Carangidae","Seriola","hippos",17.273,27.115,9.499,78.55,94.82,111.43
"Triakidae","Furgaleus","macki",16.592,73.243,3.971,80.29,116.77,207.49
"Cheilodactylidae","Dactylophora","nigricans",7.211,7.211,7.211,94.24,94.24,94.24
"Orectolobidae","Orectolobus","spp",6.07,6.07,6.07,96.61,96.61,96.61
"Labridae","Achoerodus","gouldii",5.09,6.995,3.184,52.95,60.76,68.58
"Triakidae","Mustelus","antarcticus",4.584,5.572,3.436,80.78,88.66,94.9
"Dasyatidae","Bathytoshia","brevicaudata",4.051,6.576,0.338,34.1,69.92,91.13
"Rhinobatidae","Trygonorrhina","dumerilii",3.987,9.147,1.773,66.32,84.72,115.02
"Rhinobatidae","Aptychotrema","vincentiana",3.89,3.89,3.89,86.33,86.33,86.33
"Carcharhinidae","Carcharhinus","plumbeus",3.733,4.002,3.463,67.1,68.75,70.4
"Pristiophoridae","Pristiophorus","cirratus",3.697,4.971,2.74,74.87,81.85,90.62
"Glaucosomatidae","Glaucosoma","hebraicum",3.257,7.054,0.392,30.02,58.05,79.19
"Myliobatidae","Myliobatis","tenuicaudatus",2.759,8.482,0.212,34.13,73,112.54
"Berycidae","Centroberyx","gerrardi",2.372,3.966,1.114,36.8,46.81,55.89
"Monacanthidae","Meuschenia","freycineti",1.981,2.755,1.157,41.99,50.02,56.57
"Serranidae","Hyporthodus","octofasciatus",1.977,1.977,1.977,50.04,50.04,50.04
"Sparidae","Chrysophrys","auratus",1.976,13.758,0.228,21.26,41.72,92.28
"Monacanthidae","Nelusetta","ayraud",1.917,2.899,0.148,24.15,59.71,69.75
"Monacanthidae","Acanthaluteres","brownii",1.738,1.754,1.722,48.13,48.28,48.44
"Carcharhinidae","Unknown",NA,1.725,1.725,1.725,55.97,55.97,55.97
"Cheilodactylidae","Nemadactylus","valenciennesi",1.725,7.42,0.013,9.07,40.66,74.68
"Scombridae","Sarda","orientalis",1.705,1.777,1.632,50.01,50.76,51.51
"Labridae","Choerodon","rubescens",1.65,5.096,0.796,35.06,42.8,64.7
"Scorpididae","Scorpis","aequipinnis",1.628,2.014,1.223,38.7,42.39,45.71
"Scyliorhinidae","Aulohalaelurus","labiosus",1.357,1.357,1.357,64.23,64.23,64.23
"Heterodontidae","Heterodontus","portusjacksoni",1.282,7.153,0.529,39.81,50.79,91.72
"Parascylliidae","Parascyllium","variolatum",1.183,1.183,1.183,57.2,57.2,57.2
"Oplegnathidae","Oplegnathus","woodwardi",0.937,1.88,0.343,25.54,35.22,44.93
"Squalidae","Squalus","spp",0.88,1.593,0.504,42.72,50.85,62.1
"Labridae","Bodianus","vulpinus",0.877,1.123,0.631,34.39,37.96,41.53
"Scorpididae","Tilodon","sexfasciatus",0.874,1.427,0.377,24.23,31.45,37.84
"Carangidae","Pseudocaranx","spp",0.862,9.568,0.067,15.3,32.68,81.69
"Neosebastidae","Neosebastes","pandus",0.711,1.167,0.286,24.04,32,38.35
"Paralichthyidae","Pseudorhombus","jenynsii",0.701,0.701,0.701,37.87,37.87,37.87
"Sphyraenidae","Sphyraena","novaehollandiae",0.641,1.124,0.012,11.41,48.69,72.2
"Neosebastidae","Neosebastes","nigropunctatus",0.605,1.015,0.258,23.21,30.25,36.61
"Scyliorhinidae","Asymbolus","occiduus",0.563,0.681,0.36,41.94,48.04,51.45
"Scorpaenidae","Scorpaena","sumptuosa",0.521,0.521,0.521,33.67,33.67,33.67
"Monacanthidae","Meuschenia","hippocrepis",0.512,0.861,0.337,27.47,30.97,37.94
"Labridae","Bodianus","frenchii",0.48,1.089,0.089,18.57,30.76,42.2
"Serranidae","Othos","dentex",0.478,0.478,0.478,38.51,38.51,38.51
"Monacanthidae","Scobinichthys","granulatus",0.472,6.174,0.025,11.3,24.7,74.65
"Aulopidae","Latropiscis","purpurissatus",0.465,0.684,0.044,17.67,34.93,42.39
"Aracanidae","Anoplocapros","amygdaloides",0.464,0.464,0.464,28.23,28.23,28.23
"Diodontidae","Diodon","nicthemerus",0.43,0.669,0.191,20.51,26.07,31.63
"Scorpididae","Scorpis","georgiana",0.428,0.55,0.299,27.23,30.52,33.39
"Labridae","Notolabrus","parilus",0.395,0.69,0.071,18.47,30.6,38.89
"Serranidae","Epinephelides","armatus",0.346,1.108,0.065,19.63,32.16,51.12
"Neosebastidae","Neosebastes","bougainvillii",0.326,0.353,0.3,24.41,25.09,25.77
"Triglidae","Pterygotrigla","polyommata",0.307,0.338,0.267,28.05,29.35,30.31
