"campaignid","sample","family","genus","species","family_correct","genus_correct","species_correct"
"2020-06_south-west_stereo-BRUVs","06","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-06_south-west_stereo-BRUVs","07","Monocentrididae","Cleidopus","gloriamaris","Monocentridae","Cleidopus","gloriamaris"
"2020-06_south-west_stereo-BRUVs","08","Pempherididae","Parapriacanthus","elongatus","Pempheridae","Parapriacanthus","elongatus"
"2020-06_south-west_stereo-BRUVs","09","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-06_south-west_stereo-BRUVs","13","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-06_south-west_stereo-BRUVs","15","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-06_south-west_stereo-BRUVs","16","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-06_south-west_stereo-BRUVs","17","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-06_south-west_stereo-BRUVs","18","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-06_south-west_stereo-BRUVs","24","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-06_south-west_stereo-BRUVs","28","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-06_south-west_stereo-BRUVs","29","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2020-06_south-west_stereo-BRUVs","29","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
"2020-06_south-west_stereo-BRUVs","30","Trygonorrhinidae","Trygonorrhina","dumerilii","Rhinobatidae","Trygonorrhina","dumerilii"
