"campaignid","sample","family","genus","species","maxn","stereo.maxn","difference","percent.difference","raw.hdd.number","con.hdd.number"
"2020-10_south-west_stereo-BRUVs","IO229","Scorpididae","Neatypus","obliquus",28,23,5,17.8571428571429,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO5","Serranidae","Caesioperca","spp",27,30,3,11.1111111111111,"RAW2",NA
"2020-10_south-west_stereo-BRUVs","IO218","Platycephalidae","Platycephalus","spp",1,3,2,200,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO229","Serranidae","Caesioperca","spp",11,9,2,18.1818181818182,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","FH69","Ostraciidae","Unknown","spp",0,1,1,Inf,"RAW2","CON1/CON2"
"2020-10_south-west_stereo-BRUVs","FH74","Labridae","Pseudolabrus","biserialis",5,4,1,20,"RAW2","CON1/CON2"
"2020-10_south-west_stereo-BRUVs","IO125","Rhinobatidae","Trygonorrhina","dumerilii",1,2,1,100,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO152","Urolophidae","Trygonoptera","ovalis",1,2,1,100,"RAW2","CON1"
"2020-10_south-west_stereo-BRUVs","IO229","Labridae","Coris","auricularis",7,8,1,14.2857142857143,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO229","Labridae","Ophthalmolepis","lineolatus",1,2,1,100,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO241","Labridae","Austrolabrus","maculatus",2,1,1,50,"RAW3","CON2"
"2020-10_south-west_stereo-BRUVs","IO241","Labridae","Ophthalmolepis","lineolatus",2,3,1,50,"RAW3","CON2"
