"sample","latitude","longitude","date","time","site","location","successful.count","fov.Limited","fov.Open","mean.relief","sd.relief","type","detailed.Consolidated.Boulder","detailed.Consolidated.Rock","detailed.Macroalgae.Erect course branching","detailed.Macroalgae.Erect fine branching","detailed.Macroalgae.Large canopy-forming","detailed.Macroalgae.Small mixed","detailed.Seagrasses.Strap-like leaves","detailed.Sponges.Erect forms","detailed.Sponges.Massive forms","detailed.Sponges.Small mixed","detailed.Unconsolidated.Pebble / gravel (pebble 10-64mm)","detailed.Unconsolidated.Sand","detailed.Unconsolidated.Sand / mud (coarse sand)"
"01",34.128599,114.930865,20200602,09:10:00,1,"SouthWest","Y",10,90,3.11538461538462,0.325812593608421,NA,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"02",34.125316,114.928838,20200602,09:18:00,1,"SouthWest","Y",25,75,2.95,0.223606797749979,NA,0,0,0,25,0,0,0,5,0,70,0,0,0
"03",34.126906,114.925945,20200602,09:27:00,1,"SouthWest","Y",0,100,3,0.377964473009227,NA,0,0,6.66666666666667,0,33.3333333333333,60,0,0,0,0,0,0,0
"04",34.122634,114.920337,20200602,09:44:00,1,"SouthWest","Y",0,100,0.692307692307692,0.470678724331642,NA,0,0,0,0,0,0,0,0,0,0,19.2307692307692,80.7692307692308,0
"05",34.131497,114.915753,20200602,09:57:00,1,"SouthWest","Y",5,95,2.95652173913043,0.474654024198412,NA,4.34782608695652,0,17.3913043478261,65.2173913043478,4.34782608695652,0,0,0,4.34782608695652,4.34782608695652,0,0,0
"06",34.132842,114.912405,20200602,10:06:00,1,"SouthWest","Y",0,100,2.78260869565217,0.518434859512082,NA,0,4.34782608695652,0,56.5217391304348,0,8.69565217391304,26.0869565217391,0,0,0,0,4.34782608695652,0
"07",34.134771,114.910241,20200602,10:16:00,1,"SouthWest","Y",10,90,2.6,0.763762615825973,NA,0,0,4,36,28,0,0,0,0,16,0,8,8
"08",34.129352,114.911755,20200602,13:48:00,1,"SouthWest","Y",35,65,3.38888888888889,0.687761494281174,NA,0,16.6666666666667,0,13.8888888888889,22.2222222222222,0,0,0,13.8888888888889,33.3333333333333,0,0,0
"09",34.119541,114.916105,20200602,11:45:00,1,"SouthWest","Y",5,95,2.06896551724138,1.13171912475662,NA,0,0,10.3448275862069,44.8275862068966,0,0,0,0,0,6.89655172413793,0,13.7931034482759,24.1379310344828
"10",34.117294,114.918685,20200602,11:51:00,1,"SouthWest","Y",15,85,2.45833333333333,0.508977377704052,NA,0,0,0,50,0,0,0,0,0,50,0,0,0
"11",34.117752,114.92306,20200602,13:55:00,1,"SouthWest","Y",0,100,1.5,0.629723529922403,NA,0,3.33333333333333,3.33333333333333,36.6666666666667,0,0,0,0,0,13.3333333333333,0,43.3333333333333,0
"12",34.132262,114.928545,20200602,12:03:00,1,"SouthWest","Y",5,95,2.75,0.452267016866645,NA,0,0,0,8.33333333333333,41.6666666666667,0,33.3333333333333,0,0,16.6666666666667,0,0,0
"13",34.128506,114.930547,20200602,12:09:00,1,"SouthWest","Y",15,85,2.1875,0.644455258838937,NA,0,0,0,15.625,3.125,0,0,0,6.25,62.5,0,12.5,0
"14",34.128381,114.925457,20200602,12:16:00,1,"SouthWest","Y",25,75,2.77777777777778,0.640512615220349,NA,0,0,0,0,77.7777777777778,0,3.7037037037037,0,3.7037037037037,3.7037037037037,0,11.1111111111111,0
"15",34.125012,114.91032,20200602,14:09:00,1,"SouthWest","Y",12.5,87.5,2.57575757575758,0.830297500534561,NA,0,6.06060606060606,0,3.03030303030303,60.6060606060606,0,0,3.03030303030303,0,9.09090909090909,0,18.1818181818182,0
"16",34.126181,114.906548,20200602,14:14:00,1,"SouthWest","Y",22.5,77.5,2.79411764705882,0.410425630121905,NA,0,2.94117647058824,0,8.82352941176471,73.5294117647059,0,2.94117647058824,0,0,11.7647058823529,0,0,0
"17",34.132142,114.92083,20200602,14:20:00,1,"SouthWest","Y",0,100,2.04347826086957,0.705707953345447,NA,0,0,0,21.7391304347826,56.5217391304348,0,0,0,0,0,0,21.7391304347826,0
"18",34.128679,114.924078,20200602,14:25:00,1,"SouthWest","Y",12.5,87.5,3,0,NA,0,0,15,0,85,0,0,0,0,0,0,0,0
"19",34.122542,114.927818,20200602,14:30:00,1,"SouthWest","Y",22.5,77.5,2.45161290322581,0.925156191404794,NA,0,0,0,22.5806451612903,22.5806451612903,0,0,0,0,29.0322580645161,0,25.8064516129032,0
"20",34.130219,114.820233,20200603,08:16:00,1,"SouthWest","Y",0,100,2.36,0.7,NA,0,40,0,28,4,0,0,0,12,4,0,12,0
"21",34.128151,114.817448,20200603,08:24:00,1,"SouthWest","Y",7.5,92.5,2.28,0.458257569495584,NA,0,48,0,32,0,0,0,0,0,20,0,0,0
"22",34.126271,114.819552,20200603,08:32:00,1,"SouthWest","Y",7.69230769230769,92.3076923076923,2.04545454545455,0.843872746402686,NA,0,4.34782608695652,0,39.1304347826087,17.3913043478261,0,0,0,4.34782608695652,4.34782608695652,0,30.4347826086957,0
