"sample","latitude","longitude","date","time","site","location","successful.count","rowid.x","fov.Facing Up","fov.Limited","fov.Open","mean.relief","sd.relief","rowid.y","detailed.Consolidated.Boulder.Turf mat","detailed.Consolidated.Cobbles.No biota","detailed.Consolidated.Cobbles.Turf mat","detailed.Consolidated.Rock.No biota","detailed.Consolidated.Rock.Turf mat","detailed.Consolidated.Rock.Veneer","detailed.Macroalgae.Articulated calcareous.","detailed.Macroalgae.Encrusting.Red","detailed.Macroalgae.Erect course branching.Brown","detailed.Macroalgae.Erect course branching.Green","detailed.Macroalgae.Erect course branching.Red","detailed.Macroalgae.Erect fine branching.Green","detailed.Macroalgae.Erect fine branching.Red","detailed.Macroalgae.Filamentous and filiform.","detailed.Macroalgae.Large canopy-forming.Ecklonia radiata","detailed.Macroalgae.Large canopy-forming.Scytothalia dorycarpa","detailed.Macroalgae.Sheet-like membranous.","detailed.Macroalgae.Small mixed.","detailed.Octocoral/Black.Fan (2D).","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp.","detailed.Sponges.Crusts.","detailed.Sponges.Erect forms.","detailed.Sponges.Hollow forms.","detailed.Sponges.Massive forms.","detailed.Sponges.Small mixed.","detailed.Stony corals.Sub-massive.Live","detailed.Unconsolidated.Sand.mud (coarse sand)"
"FH102",-33.68868897,114.9288721,20201017,06:42:00,"C.FH.3","South-west","Yes",99620,0,0,0.0401364639775236,0.185185185185185,0.39584739066357,34737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776665516051087
"FHA",-33.683135,114.937827,20201017,06:55:00,"C.FH.3","South-west","Yes",160420,0,0,0.0249283310482363,1.36,0.489897948556636,54395,0,0,0,0,0,0,0,0,0.00367511944138184,0,0,0,0.00735023888276369,0,0,0,0,0,0,0,0,0,0,0.00551267916207277,0,0,0.0294009555310548
"FHB",-33.681655,114.957127,20201017,07:02:00,"C.FH.A","South-west","Yes",161220,0,0.0024804663276696,0.0223241969490264,1.96551724137931,0.680480849981921,67065,0,0,0,0,0.00149044623960414,0,0,0,0,0,0,0.00298089247920827,0.0134140161564372,0,0,0,0,0,0,0,0,0.0119235699168331,0,0.00298089247920827,0,0,0.010433123677229
"FHD",-33.686897,114.958507,20201017,07:12:00,"C.FH.A","South-west","Yes",165220,0,0,0.024204284158296,0.5,0.606976978666884,48450,0,0,0,0,0,0,0,0,0,0,0,0,0.0020631318341242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391995048483598
"FHE",-33.687267,114.951172,20201017,07:16:00,"C.FH.A","South-west","Yes",166020,0,0,0.0240876791521137,0,0,53605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466157001678165
"FH31",-33.67368897,114.8238721,20201012,08:27:00,"C.FH.2","South-west","Yes",117220,0,0,0.0341122292341805,2.39285714285714,0.685256681526506,50439,0,0,0,0.00198149285671825,0,0,0,0,0.0257594071373373,0,0,0,0,0,0.00990746428359126,0,0,0,0,0.00792597142687301,0,0,0,0.0039629857134365,0,0,0.00594447857015475
"FH5",-33.69368897,114.9413721,20201017,08:46:00,"C.FH.5","South-west","Yes",128820,0,0,0.031041440322831,2.18181818181818,0.852802865422442,64660,0,0,0,0,0.00773012584644878,0,0,0,0,0.00154602516928976,0,0,0,0,0,0,0,0,0,0.0108221761850283,0,0,0,0.00463807550786927,0,0,0.00927615101573854
"FH108",-33.76118897,114.9238721,20201017,09:32:00,"C.FH.9","South-west","Yes",101220,0,0,0.0395022713806044,1.69565217391304,0.558795995356872,29508,0,0,0,0,0.00338627205309675,0,0,0,0.040635264637161,0.00338627205309675,0,0,0.00677254410619349,0,0,0,0,0,0,0,0,0,0,0,0.00338627205309675,0,0.0203176323185805
"FH6",-33.70618897,114.8213721,20201012,10:50:00,"C.FH.6","South-west","Yes",17810,0,0,0.112170499158721,2.4,0.516397779494322,5315,0,0,0,0,0,0,0,0,0.112676056338028,0,0,0,0,0,0.0375586854460094,0,0,0,0,0.0375586854460094,0,0,0,0,0,0,0
"FH95",-33.75868897,114.8913721,20201017,11:07:00,"C.FH.8","South-west","Yes",158020,0,0,0.0253068455017082,2.28,0.613731754650732,64985,0,0,0,0,0,0,0,0,0.0261498231041378,0,0,0,0.0015382248884787,0,0,0,0,0,0,0,0,0,0,0.00769112444239348,0,0,0.00307644977695739
