Date,Sample,Left mem card,Right mem card,Rear mem card,Left cam,Right cam,Rear cam,Rear cam code,Time,Time in,Time out,Depth,Latitude,Longitude,Planned.or.exploratory,Comment,Site,Location,successful.count
20200602,01,167,157,37,372,371,422,1.1,9:10,9:10,10:31,46.7,34.128599,114.930865,MBH,,1,SouthWest,Y
20200602,02,173,128,64,378,377,439,2.1,9:18,9:18,10:41,44.4,34.125316,114.928838,MBH,,1,SouthWest,Y
20200602,03,155,126,60,367,368,441,missing,9:27,9:27,10:51,39.3,34.126906,114.925945,MBH,,1,SouthWest,Y
20200602,04,138,168,40,373,374,423,4.1,9:44,9:44,11:00,44.1,34.122634,114.920337,MBH,,1,SouthWest,Y
20200602,05,154,156,2,375,376,416,5.1,9:57,9:57,11:09,44.1,34.131497,114.915753,MBH,,1,SouthWest,Y
20200602,06,147,159,44,369,370,440,6.1,10:06,10:06,11:18,43.2,34.132842,114.912405,MBH,,1,SouthWest,Y
20200602,07,125,165,54,564,561,420,7.1,10:16,10:16,11:22,43.9,34.134771,114.910241,MBH,,1,SouthWest,Y
20200602,08,133,142,60,367,368,441,8.1,13:48,13:48,14:48,39.6,34.129352,114.911755,MBH,RE-DO,1,SouthWest,Y
20200602,09,137,149,44,369,370,440,9.1,11:45,11:45,12:49,43.8,34.119541,114.916105,MBH,,1,SouthWest,Y
20200602,10,129,130,2,375,376,416,10.1,11:51,11:51,12:57,45.7,34.117294,114.918685,MBH,,1,SouthWest,Y
20200602,11,144,134,64,378,377,439,11.1,13:55,13:55,14:57,45.08,34.117752,114.92306,MBH,RE-DO,1,SouthWest,Y
20200602,12,115,122,60,367,368,441,missing,12:03,12:03,13:30,40.1,34.132262,114.928545,MBH,,1,SouthWest,Y
20200602,13,150,146,64,378,377,439,13.1,12:09,12:09,13:22,45.2,34.128506,114.930547,Captains pick,,1,SouthWest,Y
20200602,14,143,119,37,372,371,422,14.1,12:16,12:16,13:14,35,34.128381,114.925457,Captains pick,,1,SouthWest,Y
20200602,15,153,158,37,372,371,422,15.1,14:09,14:09,15:09,43,34.125012,114.91032,Captains pick,In lobster area,1,SouthWest,Y
20200602,16,123,152,40,373,374,423,16.1,14:14,14:14,15:19,40.9,34.126181,114.906548,Captains pick,,1,SouthWest,Y
20200602,17,145,162,2,375,376,416,17.1,14:20,14:20,15:28,40.2,34.132142,114.92083,Captains pick,,1,SouthWest,Y
20200602,18,132,136,44,369,370,440,18.1,14:25,14:25,15:34,35.8,34.128679,114.924078,Captains pick,,1,SouthWest,Y
20200602,19,160,171,54,564,561,420,19.1,14:30,14:30,15:44,44.9,34.122542,114.927818,Captains pick,,1,SouthWest,Y
20200603,20,124,161,130,564,561,420,20.1,8:16,8:16,9:17,51.7,34.130219,114.820233,MBH,Used different settings for GoPros from here on 1440,1,SouthWest,Y
20200603,21,44,148,127,369,370,440,21.1,8:24,8:24,9:26,52.4,34.128151,114.817448,MBH,,1,SouthWest,Y
20200603,22,149,54,66,375,376,416,22.1,8:32,8:32,9:36,51.9,34.126271,114.819552,MBH,,1,SouthWest,Y
20200603,23,19,117,50,373,374,423,23.1,8:38,8:38,9:43,51.3,34.124217,114.817017,MBH,,1,SouthWest,Y
20200603,24,120,131,58,372,371,422,24.1,8:47,8:47,9:55,49.8,34.118739,114.826402,MBH,,1,SouthWest,Y
20200603,25,61,164,36,378,377,439,25.1,8:54,8:54,10:01,48.4,34.116829,114.828432,MBH,,1,SouthWest,Y
20200603,26,169,116,57,367,368,441,26.1,9:02,9:02,10:08,48.4,34.120881,114.828907,MBH,,1,SouthWest,Y
20200603,27,145,165,57,367,368,441,27.1,10:19,10:19,11:23,47.8,34.121824,114.832898,MBH,,1,SouthWest,Y
20200603,28,128,168,36,378,377,439,28.1,10:27,10:27,11:34,44.7,34.112916,114.852137,MBH,,1,SouthWest,Y
20200603,29,135,170,58,372,371,422,29.1,10:31,10:31,11:40,43,34.111084,114.855648,MBH,,1,SouthWest,Y
20200603,30,37,119,50,373,374,423,30.1,10:37,10:37,11:47,42.9,34.112094,114.85946,MBH,,1,SouthWest,Y
20200603,31,64,129,66,375,376,416,31.1,10:42,10:42,11:55,44.4,34.116007,114.860738,MBH,,1,SouthWest,Y
20200603,32,60,167,127,369,370,440,32.1,10:49,10:49,12:02,43.2,34.130076,114.86109,MBH,,1,SouthWest,Y
20200603,33,137,154,130,564,561,420,33.1,10:54,10:54,12:06,43.6,34.133067,114.8627,MBH,,1,SouthWest,Y
20200603,34,144,159,130,564,561,420,34.1,12:18,12:18,13:20,42.7,34.131334,114.866053,MBH,,1,SouthWest,Y
20200603,35,2,123,127,369,370,440,35.1,12:23,12:23,13:27,43.8,34.134801,114.869348,MBH,,1,SouthWest,Y
20200603,36,40,133,66,375,376,416,36.1,12:29,12:29,13:33,42.2,34.130484,114.878263,MBH,Was on phone to tim so mark was late. Maybe use MBH planned mark instead.,1,SouthWest,Y
20200603,37,132,136,50,373,374,423,37.1,12:34,12:34,13:42,41.2,34.126354,114.878937,MBH,,1,SouthWest,Y
20200603,38,141,158,58,372,371,422,38.1,12:39,12:39,13:48,41.8,34.127912,114.883938,MBH,,1,SouthWest,Y
20200603,39,143,157,36,378,377,439,39.1,12:42,12:42,13:53,42.2,34.132294,114.884797,MBH,Used old bait.,1,SouthWest,Y
20200603,40,126,151,57,367,368,441,40.1,12:46,12:46,14:00,41.2,34.133669,114.880443,MBH,Used old bait.,1,SouthWest,Y
20200602,08 - failed,151,141,54,564,561,420,,11:36,11:36,12:38,41.7,34.129336,114.911822,MBH,Camera not turned on. Re-done.,1,SouthWest,N
20200602,11 - failed,135,170,40,373,374,423,,11:55,11:55,13:03,46.7,34.117769,114.923158,MBH,Facing down. Re-done.,1,SouthWest,N
