Dot Point Measurements

Generated: Wednesday 03 February 2021 10:05:28

Filename	Frame	Time (HMS)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
FH10.jpg	      0		740	1858													Open Water			Open					93.4
FH10.jpg	      0		925	1059													Unknown			Limited					11.6
FH10.jpg	      0		711	62													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			100.0
FH10.jpg	      0		752	667													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			35.7
FH10.jpg	      0		593	1870													Open Water			Open					97.7
FH10.jpg	      0		855	1155													Macroalgae	Erect fine branching	Red	Open		90300910			17.7
FH10.jpg	      0		928	655													Macroalgae	Erect fine branching	Red	Open		90300910			36.9
FH10.jpg	      0		723	1664													Open Water			Open					73.1
FH10.jpg	      0		910	765													Consolidated	Rock	Turf mat	Open		82001002			25.1
FH10.jpg	      0		1016	562													Macroalgae	Erect fine branching	Red	Open		90300910			49.4
FH10.jpg	      0		965	1742													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			81.4
FH10.jpg	      0		808	1367													Open Water			Open					40.5
FH10.jpg	      0		1014	494													Macroalgae	Erect fine branching	Red	Open		90300910			56.0
FH10.jpg	      0		710	160													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			89.7
FH10.jpg	      0		1019	917													Macroalgae	Erect fine branching	Red	Open		90300910			20.5
FH10.jpg	      0		1039	1891													Seagrasses	Strap-like leaves	Thalassodendrum sp.	Open		63600903			98.6
FH10.jpg	      0		583	429													Open Water			Open					65.9
FH10.jpg	      0		963	1072													Unknown			Limited					15.7
FH10.jpg	      0		996	350													Macroalgae	Erect fine branching	Red	Open		90300910			70.3
FH10.jpg	      0		580	1052													Open Water			Open					28.7
FH102.jpg	      0		641	4													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			93.9
FH102.jpg	      0		682	1621													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			81.0
FH102.jpg	      0		1006	447													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			52.4
FH102.jpg	      0		562	447													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			50.3
FH102.jpg	      0		890	634													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			28.9
FH102.jpg	      0		856	1225													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			39.2
FH102.jpg	      0		858	464													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			44.8
FH102.jpg	      0		601	1337													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			52.9
FH102.jpg	      0		838	1178													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			33.9
FH102.jpg	      0		836	1657													Unknown			Limited					84.7
FH102.jpg	      0		686	303													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			61.5
FH102.jpg	      0		704	1722													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			91.5
FH102.jpg	      0		984	342													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			61.6
FH102.jpg	      0		575	1599													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			80.7
FH102.jpg	      0		582	356													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			58.5
FH102.jpg	      0		889	268													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			66.1
FH102.jpg	      0		626	1576													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			77.1
FH102.jpg	      0		789	428													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			47.6
FH102.jpg	      0		623	47													Unconsolidated	Sand	mud (coarse sand)	Open		82001014			89.7
FH102.jpg	      0		1031	1764													Unknown			Limited					100.0
FH106.jpg	      0		1042	502													Macroalgae	Filamentous and filiform		Open		80300930			48.1
FH106.jpg	      0		1002	356													Macroalgae	Erect fine branching	Red	Open		90300910			60.7
FH106.jpg	      0		806	660													Macroalgae	Erect fine branching	Red	Open		90300910			25.3
FH106.jpg	      0		997	719													Consolidated	Rock	Turf mat	Open		82001002			26.3
FH106.jpg	      0		833	464													Macroalgae	Erect fine branching	Red	Open		90300910			46.2
FH106.jpg	      0		652	1799													Open Water			Open					98.5
FH106.jpg	      0		748	987													Macroalgae	Erect fine branching	Red	Open		90300910			12.8
FH106.jpg	      0		950	1031													Macroalgae	Erect fine branching	Red	Open		90300910			19.6
FH106.jpg	      0		583	1206													Open Water			Open					42.2
FH106.jpg	      0		968	234													Macroalgae	Erect fine branching	Red	Open		90300910			72.4
FH106.jpg	      0		870	1796													Unknown			Limited					96.5
FH106.jpg	      0		1014	17													Macroalgae	Erect fine branching	Red	Open		90300910			96.1
FH106.jpg	      0		699	1163													Unknown			Limited					31.6
FH106.jpg	      0		672	925													Open Water			Open					16.7
FH106.jpg	      0		988	524													Macroalgae	Erect fine branching	Red	Open		90300910			43.4
FH106.jpg	      0		744	1826													Macroalgae	Erect fine branching	Red	Open		90300910			100.0
