Dot Point Measurements

Generated: Friday 05 February 2021 09:30:02

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	BROAD	MORPHOLOGY	TYPE	FieldOfView	Relief	CODE			Radius %
01.jpg	      0		949	1242													Macroalgae	Erect fine branching	Red	Open		90300910			35.8
01.jpg	      0		817	385													Macroalgae	Erect fine branching	Red	Open		90300910			51.3
01.jpg	      0		754	568													Open Water			Open					33.7
01.jpg	      0		971	829													Macroalgae	Erect fine branching	Red	Open		90300910			17.1
01.jpg	      0		711	574													Open Water			Open					34.2
01.jpg	      0		641	556													Open Water			Open					38.4
01.jpg	      0		782	1734													Sponges	Erect forms		Open		10000912			82.0
01.jpg	      0		896	882													Macroalgae	Erect fine branching	Red	Open		90300910			8.2
01.jpg	      0		868	737													Macroalgae	Erect fine branching	Red	Open		90300910			17.3
01.jpg	      0		655	279													Open Water			Open					63.6
01.jpg	      0		759	1144													Sponges	Massive forms		Open		10000903			24.3
01.jpg	      0		645	882													Open Water			Open					16.9
01.jpg	      0		747	1574													Sponges	Massive forms		Open		10000903			66.5
01.jpg	      0		1074	188													Macroalgae	Erect fine branching	Red	Open		90300910			75.1
01.jpg	      0		1058	1888													Sponges	Massive forms		Open		10000903			100.0
01.jpg	      0		890	1274													Macroalgae	Erect fine branching	Red	Open		90300910			37.2
01.jpg	      0		648	1840													Sponges	Massive forms		Open		10000903			93.8
01.jpg	      0		909	1159													Macroalgae	Erect fine branching	Red	Open		90300910			26.8
01.jpg	      0		962	156													Sponges	Massive forms		Open		10000903			75.2
01.jpg	      0		568	191													Open Water			Open					74.4
02.JPG	      0		854	1029													Sponges	Hollow forms		Open		10000909			16.6
02.JPG	      0		718	1660													Macroalgae	Large canopy-forming	Ecklonia radiata	Open		54080001			43.3
02.JPG	      0		1021	1540													Macroalgae	Erect fine branching	Red	Open		90300910			35.1
02.JPG	      0		599	495													Macroalgae	Erect fine branching	Red	Open		90300910			69.7
02.JPG	      0		962	1451													Macroalgae	Erect fine branching	Red	Open		90300910			25.2
02.JPG	      0		893	1072													Macroalgae	Erect fine branching	Red	Open		90300910			13.5
02.JPG	      0		961	1218													Macroalgae	Erect fine branching	Red	Open		90300910			11.4
02.JPG	      0		1002	1733													Macroalgae	Large canopy-forming	Ecklonia radiata	Open		54080001			50.9
02.JPG	      0		620	968													Macroalgae	Large canopy-forming	Ecklonia radiata	Open		54080001			30.1
02.JPG	      0		816	1348													Macroalgae	Erect fine branching	Red	Open		90300910			13.2
02.JPG	      0		586	733													Sponges	Erect forms		Open		10000912			49.8
02.JPG	      0		1022	1913													Macroalgae	Large canopy-forming	Ecklonia radiata	Open		54080001			67.5
02.JPG	      0		593	1287													Macroalgae	Large canopy-forming	Ecklonia radiata	Open		54080001			23.9
02.JPG	      0		1003	1242													Macroalgae	Erect fine branching	Red	Open		90300910			15.6
02.JPG	      0		1007	141													Macroalgae	Erect fine branching	Red	Open		90300910			100.0
02.JPG	      0		639	1430													Macroalgae	Erect fine branching	Red	Open		90300910			27.6
02.JPG	      0		969	1181													Macroalgae	Erect fine branching	Red	Open		90300910			12.3
02.JPG	      0		797	359													Macroalgae	Erect fine branching	Red	Open		90300910			78.8
02.JPG	      0		887	1874													Macroalgae	Large canopy-forming	Ecklonia radiata	Open		54080001			61.9
02.JPG	      0		826	1483													Sponges	Erect forms		Open		10000912			25.5
04.JPG	      0		759	1425													Unconsolidated	Sand	mud (coarse sand)	Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	82001014			40.5
04.JPG	      0		648	1520													Unconsolidated	Sand	mud (coarse sand)	Open	".0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	82001014			52.2
