"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Limited","fov.Open","broad.Ascidians","broad.Bryozoa","broad.Consolidated","broad.Hydroids","broad.Macroalgae","broad.Octocoral/Black","broad.Seagrasses","broad.Sponges","broad.Stony corals","broad.True anemones","broad.Unconsolidated"
"FH102",-33.68868897,114.9288721,20201017,06:42:00,"C.FH.3","South-west","Yes",0,5,95,0,0,0,0,0,0,0,0,0,0,100
"FHA",-33.683135,114.937827,20201017,06:55:00,"C.FH.3","South-west","Yes",0,5,95,0,5.88235294117647,8.82352941176471,0,8.82352941176471,0,0,0,0,0,76.4705882352941
"FHB",-33.681655,114.957127,20201017,07:02:00,"C.FH.A","South-west","Yes",0,2.5,97.5,0,5.40540540540541,8.10810810810811,0,43.2432432432432,0,0,10.8108108108108,0,0,32.4324324324324
"FHD",-33.686897,114.958507,20201017,07:12:00,"C.FH.A","South-west","Yes",0,0,100,0,0,0,0,3.03030303030303,0,0,0,0,0,96.969696969697
"FHE",-33.687267,114.951172,20201017,07:16:00,"C.FH.A","South-west","Yes",0,7.5,92.5,0,0,0,0,0,0,0,0,0,0,100
"FH31",-33.67368897,114.8238721,20201012,08:27:00,"C.FH.2","South-west","Yes",0,0,100,0,0,8.10810810810811,0,75.6756756756757,0,0,0,0,0,16.2162162162162
"FH5",-33.69368897,114.9413721,20201017,08:46:00,"C.FH.5","South-west","Yes",0,12.5,87.5,0,0,33.3333333333333,0,8.33333333333333,0,41.6666666666667,8.33333333333333,0,0,8.33333333333333
"FH108",-33.76118897,114.9238721,20201017,09:32:00,"C.FH.9","South-west","Yes",0,7.5,92.5,3.125,0,6.25,0,46.875,0,0,0,0,0,43.75
"FH6",-33.70618897,114.8213721,20201012,10:50:00,"C.FH.6","South-west","Yes",0,10,90,0,0,0,0,63.6363636363636,0,27.2727272727273,0,0,0,9.09090909090909
"FH95",-33.75868897,114.8913721,20201017,11:07:00,"C.FH.8","South-west","Yes",0,5,95,0,0,3.44827586206897,0,55.1724137931034,0,0,17.2413793103448,0,0,24.1379310344828
"IO272",-34.00868897,114.8138721,20201019,06:56:00,"C.IO.21","South-west",NA,0,0,100,0,15,20,0,55,0,0,5,0,0,5
"FH44",-33.77118897,114.8638721,20201017,11:28:00,"C.FH.10","South-west","Yes",0,5.26315789473684,94.7368421052632,0,0,9.67741935483871,0,19.3548387096774,0,32.258064516129,6.45161290322581,0,0,32.258064516129
"FH20",-33.78618897,114.8738721,20201017,11:40:00,"C.FH.11","South-west","Yes",0,0,100,0,0,26.6666666666667,0,33.3333333333333,0,0,0,0,0,40
"FH7",-33.78368897,114.8788721,20201017,11:45:00,"C.FH.11","South-west","Yes",0,7.5,92.5,0,6.89655172413793,17.2413793103448,3.44827586206897,44.8275862068966,0,13.7931034482759,13.7931034482759,0,0,0
"FH34",-33.78618897,114.8838721,20201017,11:51:00,"C.FH.11","South-west","Yes",0,5.12820512820513,94.8717948717949,3.2258064516129,0,35.4838709677419,3.2258064516129,22.5806451612903,0,6.45161290322581,12.9032258064516,0,0,16.1290322580645
"FH18",-33.79118897,114.8213721,20201012,13:19:00,"C.FH.12","South-west","Yes",0,5,95,0,0,13.6363636363636,0,40.9090909090909,0,0,0,0,0,45.4545454545455
"FH26",-33.81118897,114.8288721,20201012,15:10:00,"C.FH.13","South-west","Yes",0,30,70,0,0,14.2857142857143,0,71.4285714285714,0,0,14.2857142857143,0,0,0
"FH27",-33.83618897,114.8713721,20201012,15:39:00,"C.FH.14","South-west","Yes",0,10,90,0,0,39.1304347826087,0,26.0869565217391,0,4.34782608695652,17.3913043478261,0,0,13.0434782608696
"IO333",-34.11301667,114.7251333,20201022,10:01:00,"C.IO.9","South-west","Yes",0,2.5,97.5,0,5.71428571428571,0,0,0,0,0,2.85714285714286,0,0,91.4285714285714
"IO332",-34.09718333,114.7344833,20201022,10:33:00,"C.IO.10","South-west","Yes",0,7.5,92.5,0,0,0,0,0,0,0,0,0,0,100
"IO319",-34.09368897,114.7313721,20201022,10:37:00,"C.IO.10","South-west","Yes",0,2.5,97.5,0,10.5263157894737,0,0,0,0,0,2.63157894736842,0,0,86.8421052631579
"IO337",-34.00536667,114.8202333,20201019,07:02:00,"C.IO.21","South-west","Yes",0,7.5,92.5,0,0,2.7027027027027,0,94.5945945945946,0,0,2.7027027027027,0,0,0
"IOREDO344",-34.0844,114.6744,20201123,07:12:00,"C.IO.14","South-west","Yes",0,20,80,0,7.14285714285714,0,0,0,0,0,0,0,0,92.8571428571429
"IO269",-33.98868897,114.8138721,20201019,07:18:00,"C.IO.22","South-west","Yes",0,10,90,0,0,0,0,79.3103448275862,0,0,17.2413793103448,0,0,3.44827586206897
"IO300",-34.08618897,114.6688721,20201123,07:18:00,"C.IO.14","South-west","Yes",0,10,90,0,3.2258064516129,0,0,0,0,0,6.45161290322581,0,0,90.3225806451613
"IO58",-34.13618897,114.7738721,20201022,07:21:00,"C.IO.69","South-west","Yes",0,15,85,0,20.6896551724138,0,20.6896551724138,0,10.3448275862069,0,3.44827586206897,0,0,44.8275862068966
