"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Limited","fov.Open","rowid","detailed.Consolidated.Cobbles.No biota","detailed.Consolidated.Cobbles.Turf mat","detailed.Consolidated.Rock.No biota","detailed.Consolidated.Rock.Turf mat","detailed.Consolidated.Rock.Veneer","detailed.Macroalgae.Articulated calcareous.","detailed.Macroalgae.Encrusting.Red","detailed.Macroalgae.Erect course branching.Brown","detailed.Macroalgae.Erect course branching.Green","detailed.Macroalgae.Erect course branching.Red","detailed.Macroalgae.Erect fine branching.Green","detailed.Macroalgae.Erect fine branching.Red","detailed.Macroalgae.Filamentous and filiform.","detailed.Macroalgae.Laminate.","detailed.Macroalgae.Large canopy-forming.Ecklonia radiata","detailed.Macroalgae.Large canopy-forming.Scytothalia dorycarpa","detailed.Macroalgae.Sheet-like membranous.","detailed.Macroalgae.Small mixed.","detailed.Octocoral/Black.Fan (2D).","detailed.Octocoral/Black.Massive soft corals.","detailed.Octocoral/Black.Whip.","detailed.Seagrasses.Strap-like leaves.Thalassodendrum sp.","detailed.Sponges.Crusts.","detailed.Sponges.Erect forms.","detailed.Sponges.Hollow forms.","detailed.Sponges.Massive forms.","detailed.Sponges.Small mixed.","detailed.Stony corals.Branching.Live","detailed.Stony corals.Columnar.Live","detailed.Stony corals.Foliose / plate.Live","detailed.Stony corals.Sub-massive.Live","detailed.Stony corals.Tabulate.Live","detailed.Unconsolidated.Pebble / gravel (gravel 2-10mm).","detailed.Unconsolidated.Pebble.gravel (gravel 2-10mm)","detailed.Unconsolidated.Pebble.gravel (pebble 10-64mm)","detailed.Unconsolidated.Sand.mud (coarse sand)"
"FH102",-33.68868897,114.9288721,20201017,06:42:00,"C.FH.3","South-west","Yes",0,5,95,58731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595582479665113
"FHA",-33.683135,114.937827,20201017,06:55:00,"C.FH.3","South-west","Yes",0,5,95,84468,0,0,0.00118343195266272,0.00236686390532544,0,0,0,0,0.00236686390532544,0,0,0.00118343195266272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307692307692308
"FHB",-33.681655,114.957127,20201017,07:02:00,"C.FH.A","South-west","Yes",0,2.5,97.5,102857,0,0,0,0.00291567857559383,0,0,0,0.00583135715118765,0,0,0,0.00874703572678148,0.000971892858531276,0,0,0,0,0,0,0,0,0,0,0.000971892858531276,0,0.00291567857559383,0,0,0,0,0,0,0,0,0,0.0116627143023753
"FHD",-33.686897,114.958507,20201017,07:12:00,"C.FH.A","South-west","Yes",0,0,100,88422,0,0,0,0,0,0,0,0,0,0,0,0.00113051834266011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361765869651235
"FHE",-33.687267,114.951172,20201017,07:16:00,"C.FH.A","South-west","Yes",0,7.5,92.5,96381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342273943618147
"FH31",-33.67368897,114.8238721,20201012,08:27:00,"C.FH.2","South-west","Yes",0,0,100,78242,0,0,0.003832445483463,0,0,0,0,0.011497336450389,0,0,0,0.011497336450389,0,0,0.00766489096692599,0.005109927311284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00766489096692599
"FH5",-33.69368897,114.9413721,20201017,08:46:00,"C.FH.5","South-west","Yes",0,12.5,87.5,83820,0,0,0,0.00954152950718,0,0,0,0,0,0,0,0.002385382376795,0,0,0,0,0,0,0,0,0,0.011926911883975,0,0,0,0.002385382376795,0,0,0,0,0,0,0,0,0,0.002385382376795
"FH108",-33.76118897,114.9238721,20201017,09:32:00,"C.FH.9","South-west","Yes",0,7.5,92.5,52814,0,0,0,0.0037846532311477,0,0,0,0.00189232661557385,0.00756930646229539,0,0,0.0170309395401646,0.00189232661557385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264925726180339
"FH6",-33.70618897,114.8213721,20201012,10:50:00,"C.FH.6","South-west","Yes",0,10,90,6688,0,0,0,0,0,0,0,0,0,0,0,0.0895656068069861,0,0,0.0149276011344977,0,0,0,0,0,0,0.0447828034034931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149276011344977
"FH95",-33.75868897,114.8913721,20201017,11:07:00,"C.FH.8","South-west","Yes",0,5,95,102009,0,0,0,0.000980027048746545,0,0,0,0.010780297536212,0,0,0,0.00490013524373273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00490013524373273,0,0,0,0,0,0,0,0,0,0.00686018934122582
