Sample,Latitude,Longitude,Date,Time,Time.out,Planned.or.exploratory,Site,Location,Status,Commonwealth.zone,Depth,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,Observer,Left.cam,Right.cam,Rear.cam,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Video.notes,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes
01,-34.128599,114.930865,20200602,09:10,10:31,MBH,c1,South-west,No-take,National Park Zone,46.7,Hayley ,8.10.20,Brooke - check small trevally with todd,Yes,,Hayley ,372,371,422,1,,,,,,,,
02,-34.125316,114.928838,20200602,09:18,10:41,MBH,c1,South-west,No-take,National Park Zone,44.4,Hayley ,23.10.20,Brooke - check trevallys with todd,Yes,,Hayley ,378,377,439,1,,,,,,,,
03,-34.126906,114.925945,20200602,09:27,10:51,MBH,c1,South-west,No-take,National Park Zone,39.3,Hayley ,23.10.20,Brooke,Yes,,Hayley ,367,368,441,1,,,,,,,,
04,-34.122634,114.920337,20200602,09:44,11:00,MBH,c2,South-west,No-take,National Park Zone,44.1,Hayley ,23.10.20,Brooke,Yes,,Hayley ,373,374,423,1,,,,,,,,
05,-34.131497,114.915753,20200602,09:57,11:09,MBH,c3,South-west,No-take,National Park Zone,44.1,Hayley ,3.11.20,Brooke,Yes,,Hayley ,375,376,416,1,,,,,,,,
06,-34.132842,114.912405,20200602,10:06,11:18,MBH,c3,South-west,No-take,National Park Zone,43.2,Hayley ,11.11.20,Brooke,Yes,,Hayley ,369,370,440,1,,,,,,,,
07,-34.134771,114.910241,20200602,10:16,11:22,MBH,c3,South-west,No-take,National Park Zone,43.9,Hayley,07.12.20,Brooke,Yes,,Hayley,564,561,420,1,,,Video not there,,,,,
08,-34.129352,114.911755,20200602,13:48,14:48,MBH,c3,South-west,No-take,National Park Zone,39.6,Hayley,12.11.20,Brooke - check sweeps and lil fish,Yes,,Hayley,564,561,420,1,,,RE-DO - goes to 58 minutes,,,,,
09,-34.119541,114.916105,20200602,11:45,12:49,MBH,c2,South-west,No-take,National Park Zone,43.8,Hayley,13.11.20,Brooke,Yes,,Hayley,369,370,440,1,,,,,,,,
10,-34.117294,114.918685,20200602,11:51,12:57,MBH,c2,South-west,No-take,National Park Zone,45.7,Hayley,13.11.20,Brooke,Yes,,Hayley,375,376,416,1,,,Only goes to 53 minutes ,,,,,
11,-34.117752,114.92306,20200602,13:55,14:57,MBH,c2,South-west,No-take,National Park Zone,45.08,Hayley,13.11.20,Brooke,Yes,,Hayley,373,374,423,1,,,RE-DO,,,,,
12,-34.132262,114.928545,20200602,12:03,13:30,MBH,c1,South-west,No-take,National Park Zone,40.1,Hayley,16.11.20,Brooke - check wobbe with todd,Yes,,Hayley,367,368,441,1,,,,,,,,
13,-34.128506,114.930547,20200602,12:09,13:22,Captains pick,c1,South-west,No-take,National Park Zone,45.2,Hayley,16.11.20,Brooke - check Parma with todd,Yes,,Hayley,378,377,439,1,,,,,,,,
14,-34.128381,114.925457,20200602,12:16,13:14,Captains pick,nc,South-west,No-take,National Park Zone,35,Hayley,16.11.20,Brooke  - check Shark with todd,Yes,,Hayley,372,371,422,1,,,Ends at 58 minutes,,,,,
15,-34.125012,114.91032,20200602,14:09,15:09,Captains pick,nc,South-west,No-take,National Park Zone,43,Hayley,17.11.20,Brooke,Yes,,Hayley,372,371,422,1,,,In lobster area,,,,,
16,-34.126181,114.906548,20200602,14:14,15:19,Captains pick,nc,South-west,No-take,National Park Zone,40.9,Hayley,17.11.20,Brooke - check flavomaculatus and frenchii with todd,Yes,,Hayley,373,374,423,1,,,,,,,,
