OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
FHA	4	FHA_L372.avi	15812	FHA_R371.avi	15471	10.54133	1	6.23533	5146.46129	-137.06446	-5416.14554	37.50422	2.76303	40.04523	19.09142	7472.58208	43.53180	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Passing	high error		
FHA	6	FHA_L372.avi	29149	FHA_R371.avi	28808	19.43267	1	15.12667	3351.35082	-19.56103	-4212.46594	17.54123	1.71891	22.31440	10.64114	5383.01071	38.50824	Labridae	Suezichthys	bifurcatus	37384160	1	AD	Passing	high error		
FHA	16	FHA_L372.avi	67222	FHA_R371.avi	66881	44.81467	1	40.50867	1198.14572	-56.14992	-2436.00019	2.94677	0.87625	5.96102	1.73044	2715.29058	26.18847	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing	not flat		
FHA	19	FHA_L372.avi	71873	FHA_R371.avi	71532	47.91533	1	43.60933	805.47653	-117.94153	-1378.93590	1.18518	0.54071	2.15786	7.25754	1601.30162	30.44541	Labridae	Coris	auricularis	37384088	3	AD	Passing	not in this frame		
FH5	3	FH5_L369.avi	7053	FH5_R370.avi	7384	4.70200	1	0.65400	-490.20483	-239.39570	-1465.33991	0.80997	0.62538	2.11425	4.12750	1563.59589	19.86557	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing	not in both frames		
FH5	4	FH5_L369.avi	7061	FH5_R370.avi	7392	4.70733	1	0.65933	-623.81833	-272.15306	-1632.91961	1.03392	0.71938	2.54854	55.61049	1769.07972	22.12160	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing	high error		
FH5	6	FH5_L369.avi	8257	FH5_R370.avi	8588	5.50467	1	1.45667	-466.24391	-908.12157	-4054.89288	2.23462	4.24429	16.35449	4.47483	4181.41417	12.94957	Labridae	Eupetrichthys	angustipes	37384105	1	AD	Passing	high error		
FH5	7	FH5_L369.avi	12371	FH5_R370.avi	12702	8.24733	1	4.19933	378.14857	-819.06165	-3609.95384	1.75454	3.45422	13.03550	0.24713	3720.97099	12.82335	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing	high error		
FH5	11	FH5_L369.avi	12784	FH5_R370.avi	13115	8.52267	1	4.47467	927.39080	-88.41349	-2201.68398	1.86703	0.77715	4.55631	1.28260	2390.66581	22.84418	Serranidae	Caesioperca	rasor	37311003	1	AD	Passing	not in both frames		
FH5	16	FH5_L369.avi	26830	FH5_R370.avi	27161	17.88667	1	13.83867	-1385.18307	-368.38489	-5650.65638	7.59124	3.40094	31.34035	0.63956	5829.61037	13.94731	Labridae	Coris	auricularis	37384088	1	AD	Passing	high error		
FH5	22	FH5_L369.avi	26941	FH5_R370.avi	27272	17.96067	1	13.91267	-557.05322	-194.41086	-1496.05270	0.88850	0.59668	2.17146	4.48039	1608.19078	21.11656	Labridae	Coris	auricularis	37384088	1	AD	Passing	not straight		
FH5	23	FH5_L369.avi	26955	FH5_R370.avi	27286	17.97000	1	13.92200	-359.70195	97.09216	-1251.27542	0.59725	0.43183	1.60506	0.23505	1305.56599	16.97959	Labridae	Coris	auricularis	37384088	1	AD	Passing	not in both frames		
FH5	24	FH5_L369.avi	26958	FH5_R370.avi	27289	17.97200	1	13.92400	-631.06966	-285.36574	-1617.47018	1.02605	0.72183	2.48106	0.15933	1759.51480	22.65801	Labridae	Coris	auricularis	37384088	1	AD	Passing	not in both frames		
FH5	30	FH5_L369.avi	59631	FH5_R370.avi	59962	39.75400	1	35.70600	-844.23949	-262.18412	-3698.49956	3.17953	1.79326	13.63931	0.90081	3802.68062	13.10593	Glaucosomatidae	Glaucosoma	hebraicum	37320004	1	AD	Passing	obstructed		
FH5	32	FH5_L369.avi	59770	FH5_R370.avi	60101	39.84667	1	35.79867	-466.64458	-31.76294	-1403.41546	0.76233	0.48121	1.97720	4.89562	1479.30423	18.38796	Glaucosomatidae	Glaucosoma	hebraicum	37320004	1	AD	Passing	not in both frames		
FH5	36	FH5_L369.avi	59867	FH5_R370.avi	60198	39.91133	1	35.86333	619.85229	-1771.09700	-10595.21818	7.23929	21.54094	110.84138	12.88876	10760.09524	8.78602	Glaucosomatidae	Glaucosoma	hebraicum	37320004	1	AD	Passing	not clear		
FH5	37	FH5_L369.avi	60204	FH5_R370.avi	60535	40.13600	1	36.08800	-8.70325	-953.07787	-4969.35006	1.63967	5.55239	24.64426	0.78202	5059.92818	9.51394	Myliobatidae	Myliobatis	tenuicaudatus	37039001	1	AD	Passing	not flat		
FH5	39	FH5_L369.avi	62471	FH5_R370.avi	62802	41.64733	1	37.59933	-2274.52115	-1220.74506	-9272.63288	20.03648	13.28797	82.92082	8.97449	9625.24730	14.96703	Pomacentridae	Parma	sp		1	AD	Passing	not flat		
FH5	42	FH5_L369.avi	69594	FH5_R370.avi	69925	46.39600	1	42.34800	-583.53399	-5.23235	-1766.06273	1.10689	0.59901	3.12538	4.00957	1859.97764	18.32062	Carangidae	Pseudocaranx	spp		1	AD	Passing	not straight		
FH5	47	FH5_L369.avi	88076	FH5_R370.avi	88407	58.71733	1	54.66933	214.46097	-74.61033	-959.15208	0.38509	0.34095	0.95207	1.52594	985.66369	12.93872	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH5	62	FH5_L369.avi	88266	FH5_R370.avi	88597	58.84400	1	54.79600	-485.80486	-94.95584	-1580.75038	0.88188	0.57160	2.52181	6.06985	1656.44038	17.17886	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH5	71	FH5_L369.avi	88361	FH5_R370.avi	88692	58.90733	1	54.85933	-181.91629	-309.93219	-1390.44691	0.53278	0.67317	1.99916	5.51258	1436.13861	13.34986	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	obstructed		
FH5	74	FH5_L369.avi	88384	FH5_R370.avi	88715	58.92267	1	54.87467	152.88621	-221.96423	-985.40059	0.36973	0.41546	1.00769	3.18342	1021.59514	14.21063	Scorpididae	Neatypus	obliquus	37361002	1	AD	Passing	not straight		
FH5	78	FH5_L369.avi	94732	FH5_R370.avi	95063	63.15467	1	59.10667	-452.08946	-366.54661	-2170.74835	1.16707	1.15997	4.76467	10.23129	2247.41845	14.20034	Enoplosidae	Enoplosus	armatus	37366001	1	AD	Passing	not in both frames		
FH5	79	FH5_L369.avi	94732	FH5_R370.avi	95063	63.15467	1	59.10667	-155.48556	-416.45709	-1712.93474	0.63398	0.97552	3.01118	1.68142	1769.67728	13.29773	Enoplosidae	Enoplosus	armatus	37366001	1	AD	Passing	not in both frames		
IO227	0	IO227_L375.avi	2865	IO227_R376.avi	2104	1.91000		-1.00000																	sync		
FH7	0	FH7_L369.avi	8343	FH7_R370.avi	7970	5.56200	1	0.77867	863.94270	-555.47415	-6552.95373	5.86634	5.18098	42.77182	6.07134	6632.95946	8.25848	Labridae	Austrolabrus	maculatus	37384025	1	AD	Passing	high error		
