OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
FHA	0	0	638.86988	917.49627	550.65687	943.48881
FHA	0	1	772.84680	927.06716	688.15950	958.09701
FHA	1	0	606.70724	711.00746	328.70724	744.10448
FHA	1	1	664.46170	758.35821	393.17733	793.80597
FHA	2	0	16.11752	293.89552	177.98741	339.85075
FHA	2	1	224.97377	321.43284	370.05456	361.00746
FHA	3	0	1417.83421	611.34328	1367.62120	677.41791
FHA	3	1	1310.04827	580.78358	1270.91605	642.15672
FHA	4	0	1267.19727	534.31343	1791.05981	575.23881
FHA	5	0	338.44701	466.49627	734.81112	487.91791
FHA	5	1	399.89507	463.47388	794.74816	486.91045
FHA	6	0	1094.76600	513.04478	1518.14586	548.70149
FHA	7	0	1608.24029	636.78358	1566.09759	718.79104
FHA	7	1	1460.16055	675.06716	1402.40399	748.00746
FHA	8	0	307.24029	594.35448	189.27072	633.33582
FHA	8	1	131.96222	618.53358	315.69255	615.20149
FHA	9	0	652.82581	544.93284	703.21196	579.43657
FHA	9	1	799.89822	527.80597	824.59706	567.85075
FHA	10	0	1646.11857	793.88060	1567.42917	888.58209
FHA	10	1	674.56243	872.46269	599.56978	890.59701
FHA	11	0	658.11962	529.66791	903.60126	559.08209
FHA	11	1	695.39140	503.97761	942.88772	533.89552
FHA	12	0	595.45016	560.47388	812.10493	571.00746
FHA	12	1	553.14166	545.36194	850.88772	587.12687
FHA	13	0	975.59286	591.23134	1152.07135	629.75000
FHA	13	1	710.66107	484.44030	901.74607	518.92910
FHA	14	0	616.37251	482.57090	977.22560	505.01493
FHA	14	1	456.20462	486.09701	832.67156	507.53358
FHA	15	0	394.87933	507.48881	444.87933	538.00746
FHA	15	1	60.94439	527.13433	106.41133	550.60075
FHA	16	0	741.40609	578.28358	870.34627	612.53731
FHA	17	0	907.89402	818.64925	876.11857	863.21269
FHA	17	1	661.09444	902.77239	633.85205	924.66791
FHA	18	0	842.14061	298.20896	997.27177	338.50746
FHA	18	1	1019.43337	270.00000	1172.54984	306.26866
FHA	19	0	1075.84470	677.01493	815.94963	735.44776
FHA	20	0	932.50262	526.12687	1006.20147	569.42164
FHA	20	1	1054.89507	514.54104	1118.52046	559.34701
FHA	21	0	929.98426	609.74627	969.43337	649.51493
FHA	21	1	1005.53515	543.75746	1037.93284	589.06716
FHA	22	0	1027.69675	593.62687	1066.64218	642.46269
FHA	22	1	1165.19937	534.18657	1193.56768	585.03731
FHA	23	0	1028.20042	578.01119	1159.82162	623.32090
FHA	23	1	1158.14795	500.43657	1298.83526	547.76119
FHA	24	0	1531.10913	500.05597	1756.81007	556.11940
FHA	24	1	1645.94648	503.07836	1905.89717	568.20896
