OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
FH10	Hayley																		
FH102	Daphne	44.1																	
FH106	Hayley 																		
FH108	Daphne	44.7																	
FH109	Rachel																		
FH11	Rachel																		
FH110	Daphne	44.7																	
FH111	Daphne	41.4																	
FH12	Rachel																		
FH15	Daphne	48																	
FH16	Hayley																		
FH17	Daphne	42.9																	
FH18	Daphne	43.5																	
FH20	Daphne	43.1																	
FH21	Daphne	45																	
FH23	Daphne	44.2																	
FH25	Hayley																		
FH26	Daphne	44.1																	
FH27	Daphne	42.9																	
FH28	Daphne	44.7																	
FH30	Daphne	46.2																	
FH31	Daphne	45.4																	
FH34	Daphne	44.8																	
FH35	Rachel																		
FH37	Daphne	44.2																	
FH39	Daphne	44.8																	
FH41	Claude																		
FH42	Hayley 																		
FH44	Daphne	43.3																	
FH45	Claude																		
FH46	Daphne	44.9																	
FH47	Hayley																		
FH48	Claude																		
FH49	Daphne	43.9																	
FH5	Daphne	44.5																	
FH50	Daphne	44.6																	
FH51	Hayley																		
FH52	Hayley 																		
FH55	Rachel																		
FH56	Claude																		
FH57	Claude																		
FH58	Daphne	45.1																	
FH59	Claude																		
FH6	Daphne	46																	
FH60	Claude																		
FH61	Claude																		
FH63	Claude																		
FH64	Daphne	44.2																	
FH65	Daphne	45.7																	
FH66	Daphne	41.8																	
FH67	Rachel																		
FH68	Hayley																		
FH69	Ramesh																		
FH7	Daphne	45																	
FH70	Daphne	48.6																	
FH71	Daphne	45.3																	
FH72	Rachel																		
FH74	Daphne	44.9																	
FH78	Rachel																		
FH79	Daphne	44.9																	
FH8	Daphne	43.9																	
FH82	Daphne	44.8																	
FH83	Daphne	40.9																	
FH84	Daphne	45.6																	
FH85	Daphne	44.7																	
FH87	Rachel																		
FH89	Daphne	45.7																	
FH9	Hayley 																		
FH92	Daphne	44.2																	
FH93	Daphne	43.3																	
FH94	Rachel																		
FH95	Daphne	46.8																	
FH96	Daphne	44.9																	
FH99	Hayley																		
FHA	Daphne	44.6																	
FHB	Daphne	41.3																	
FHC	Daphne	36.2																	
FHCO1	Daphne	44.8																	
FHCO2	Daphne	42																	
FHCO3	Claude																		
FHD	Daphne	39.5																	
FHE	Daphne	42.3																	
IO1	Hayley																		
IO100	Rachel																		
IO101	Rachel																		
IO102	Rachel																		
IO105	Rachel																		
IO107	Rachel																		
IO108	Rachel																		
IO109	Rachel																		
IO110	Brooke Gibbons																		
IO113	Rachell																		
IO115	Rachel																		
IO117	Rachel																		
IO119	Rachel																		
IO122	Brooke Gibbons																		
IO123	Hayley																		
IO125	Hayley																		
IO126	Brooke Gibbons																		
IO132	Hayley																		
IO133	Daphne	40.8																	
IO134	Claude																		
IO145	Hayley																		
IO146	Claude																		
IO147	Claude																		
IO148	Rachel																		
IO15	Brooke Gibbons																		
IO152	Hayley 																		
IO153	Brooke Gibbons																		
IO155	Hayley																		
IO158	Hayley																		
IO164	Hayley																		
IO165	Hayley 																		
IO180	Brooke Gibbons																		
IO184	Hayley																		
IO191	Rachel																		
IO192	Rachel																		
IO194	Rachel																		
IO195	Brooke Gibbons																		
IO199	Claude																		
IO201	Hayley 																		
IO204	Hayley																		
IO207	Hayley																		
IO210	Hayley																		
IO211	Rachel																		
IO215	Hayley																		
IO216	Rachel																		
IO217	Claude																		
IO218	Hayley																		
IO220	Brooke Gibbons																		
IO222	Hayley 																		
IO223	Hayley																		
IO224	Hayley																		
IO225	Hayley																		
IO226	Brooke Gibbons																		
IO227	Ramesh																		
IO228	Rachel																		
IO229	Ramesh																		
IO236	Hayley																		
IO237	Hayley																		
IO239	Hayley																		
IO241	Ramesh																		
IO244	Ramesh																		
IO245	Ramesh																		
IO253	Brooke Gibbons																		
IO254	Rachel																		
IO258	Ramesh																		
IO259	Rachel																		
IO260	Rachel																		
IO261	Ramesh																		
IO262	Rachel																		
IO263	Brooke Gibbons																		
IO264	Brooke Gibbons																		
IO266	Hayley																		
IO269	Brooke Gibbons																		
IO273	Rachel																		
IO276	Rachel																		
IO277	Brooke Gibbons																		
IO278	Brooke Gibbons																		
IO280	Rachel																		
IO290	Rachel																		
IO291	Rachel																		
IO293	Claude																		
IO294	Rachel																		
IO295	Rachel																		
IO297	Rachel																		
IO298	Rachel																		
IO299	Rachel																		
IO3	Hayley																		
IO300	Brooke Gibbons																		
IO302	Rachel																		
IO306	Rachel																		
IO307	Daphne	128																	
IO308	Rachel																		
IO310	Brooke Gibbons																		
IO311	Brooke Gibbons																		
IO312	Hayley																		
IO313	Rachel																		
IO319	Rachel																		
IO323	Daphne	141																	
IO324	Rachel																		
IO325	Hayley 																		
IO327	Hayley																		
IO328	Rachel																		
IO329	Rachel																		
IO330	Rachel																		
IO331	Rachel																		
IO332	Rachel																		
IO333	Rachel																		
IO334	Hayley																		
IO335	Hayley																		
IO337	Daphne	43																	
IO338	Daphne	46																	
IO339	Daphne	41.1																	
IO34	Brooke Gibbons																		
IO343	Rachel																		
IO349	Rachel																		
IO350	Brooke Gibbons																		
IO351	Daphne	142																	
IO352	Rachel																		
IO353	Hayley																		
IO354	Brooke Gibbons																		
IO355	Rachel 																		
IO356	Claude																		
IO357	Hayley																		
IO36	Rachel																		
IO361	Hayley																		
IO363	Brooke Gibbons																		
IO364	Daphne	130																	
IO365	Brooke Gibbons																		
IO369	Rachel																		
IO37	Brooke Gibbons																		
IO370	Rachel																		
IO374	Hayley																		
IO377	Rachel																		
IO378	Rachel																		
IO379	Rachel																		
IO4	Hayley																		
IO40	Brooke Gibbons																		
IO46	Rachel																		
IO47	Rachel																		
IO49	Rachel																		
IO5	Claude																		
IO58	Brooke Gibbons																		
IO59	Rachel																		
IO62	Brooke Gibbons																		
IO64	Ramesh																		
IO65	Ramesh																		
IO66	Rachel																		
IO71	Rachel																		
IO72	Ramesh																		
IO73	Ramesh																		
IO74	Rachel																		
IO75	Rachel																		
IO80	Hayley																		
IO81	Hayley																		
IO91	Hayley 																		
IO92	Brooke Gibbons																		
IO95	Daphne	124																	
IO96	Brooke Gibbons																		
IO98	Daphne	128																	
IOC04	Rachel																		
IOC05	Rachel																		
IOC06	Ramesh																		
IOCP11-1	Daphne	124																	
IOCP11-2	Daphne	124																	
IOCP2311	Daphne	142																	
IOREDO344	Daphne	138																	
