Sample,Dataset,Number,Latitude,Longitude,Date,Time,Planned.or.exploratory,Site,Location,Status,Commonwealth.zone,State.zone,Depth,Observer,Successful.count,Successful.length,Maxn.checker,Left.cam,Right.cam,Rear.cam,Time.out,Video.notes,Raw.hdd.number,Con.hdd.number,Maxn.analyst,Maxn.complete.yyyymmdd,Notes,Habitat.image.saved,Habitat.backwards.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd
FH102,FH,102,-33.68868897,114.9288721,20201017,06:42:00,MBH,C.FH.3,South-west,No-take,,Injidup Sanctuary Zone,44.1,Daphne,Yes,Yes,Brooke Gibbons,378,377,562,07:46,,RAW1,BU1,Daphne,20201209,worked fine,Yes,Yes,,,Rachel,20210127
FHA,FH,A,-33.683135,114.937827,20201017,06:55:00,Captains pick,,South-west,No-take,,Injidup Sanctuary Zone,44.6,Daphne,Yes,Yes,"Brooke/Rachel - check two unknown stripy guys with todd (are bifurcatus, changed details)",372,371,563,08:06,,RAW1,BU1,Daphne,20201125,moved inside,Yes,Yes,,,Rachel,20210121
FHB,FH,B,-33.681655,114.957127,20201017,07:02:00,Captains pick,,South-west,No-take,,Injidup Sanctuary Zone,41.3,Daphne,Yes,Yes,Brooke,373,374,440,08:15,,RAW1,BU1,Daphne,20201209,,Yes,Yes,,,Rachel,20210121
FHD,FH,D,-33.686897,114.958507,20201017,07:12:00,Captains pick,,South-west,No-take,,Injidup Sanctuary Zone,39.5,Daphne,Yes,Yes,Rachel - check H. vittatus,375,376,561,08:27,,RAW1,BU1,Daphne,20201221,,Yes,Yes,,,Rachel,20210128
FHE,FH,E,-33.687267,114.951172,20201017,07:16:00,Captains pick,,South-west,No-take,,Injidup Sanctuary Zone,42.3,Daphne,Yes,Yes,Rachel ,369,370,1207,08:33,,RAW1,BU1,Daphne,20201221,,Yes,Yes,,,Rachel,20210128
FH31,FH,31,-33.67368897,114.8238721,20201012,08:27:00,MBH,C.FH.2,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45.4,Daphne,Yes,Yes,Rachel,375,376,561,09:44,,RAW2,BU1,Daphne,20201222,,Yes,Yes,,,Rachel,20210126
FH5,FH,5,-33.69368897,114.9413721,20201017,08:46:00,MBH,C.FH.5,South-west,No-take,,Injidup Sanctuary Zone,44.5,Daphne,Yes,Yes,"Brooke/Rachel - check Parmas with Todd, Parma occi is correct, other is too far to tell but they are territorial so probs the same",369,370,1207,09:53,,RAW1,BU1,Daphne,20201202,,Yes,Yes,,,Rachel,20210121
FH108,FH,108,-33.76118897,114.9238721,20201017,09:32:00,MBH,C.FH.9,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.7,Daphne,Yes,Yes,Brooke,378,377,562,10:52,,RAW1,BU1,Daphne,20201209,,Yes,Yes,,,Rachel,20210128
FH6,FH,6,-33.70618897,114.8213721,20201012,10:50:00,MBH,C.FH.6,South-west,Fished,Special Purpose Zone (Mining Exclusion),,46,Daphne,Yes,Yes,Rachel - check catshark,369,370,1207,11:56,,RAW2,BU1,Daphne,20201221,,Yes,No ,,,Rachel,20210125
FH95,FH,95,-33.75868897,114.8913721,20201017,11:07:00,MBH,C.FH.8,South-west,Fished,Special Purpose Zone (Mining Exclusion),,46.8,Daphne,Yes,Yes,Brooke/Rachel - maxN error with lineolatus,367,368,1208,12:12,,RAW1,BU1,Daphne,20201210,,Yes,Yes,,,Rachel,20210126
IO272,IO,272,-34.00868897,114.8138721,20201019,06:56:00,MBH,C.IO.21,South-west,Fished,Special Purpose Zone (Mining Exclusion),,49.2,,,No,,373,374,440,08:04,,RAW3,,,,L373 didn't record anything,,Yes,,,,
FH44,FH,44,-33.77118897,114.8638721,20201017,11:28:00,MBH,C.FH.10,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.3,Daphne,Yes,Yes,Brooke,373,374,440,12:41,,RAW1,BU1,Daphne,20201211,,Yes,Yes,,,Rachel,20210128
FH20,FH,20,-33.78618897,114.8738721,20201017,11:40:00,MBH,C.FH.11,South-west,Fished,Special Purpose Zone (Mining Exclusion),,43.1,Daphne,Yes,Yes,Brooke,375,376,561,12:56,,RAW1,BU1,Daphne,20201209,tangled,Yes,Yes,,,Rachel,20210126
FH7,FH,7,-33.78368897,114.8788721,20201017,11:45:00,MBH,C.FH.11,South-west,Fished,Special Purpose Zone (Mining Exclusion),,45,Daphne,Yes,Yes,Brooke,369,370,1207,13:05,,RAW1,BU1,Daphne,20201202,L369 memory card error but recovered all files,Yes,Yes,,,Rachel,20210125
FH34,FH,34,-33.78618897,114.8838721,20201017,11:51:00,MBH,C.FH.11,South-west,Fished,Special Purpose Zone (Mining Exclusion),,44.8,Daphne,Yes,Yes,"Brooke/Rachel - check stripy with Todd, weird trevally (looks benitoish to me), ayraud actually venusta?",378,377,562,13:12,,RAW1,BU1,Daphne,20201211,,Yes,Yes,,,Rachel,20210126
