Latitude,Longitude,UniqueID,Sample
114.8638721,-33.76618897,1,FH1
114.8913721,-33.91868897,2,FH2
114.9263721,-33.67618897,3,FH3
114.8263721,-33.97868897,4,FH4
114.9413721,-33.69368897,5,FH5
114.8213721,-33.70618897,6,FH6
114.8788721,-33.78368897,7,FH7
114.8013721,-33.72368897,8,FH8
114.8513721,-33.90118897,9,FH9
114.8863721,-33.98618897,10,FH10
114.9388721,-33.89868897,11,FH11
114.8963721,-33.91868897,12,FH12
114.8313721,-33.97868897,13,FH13
114.8713721,-33.76618897,14,FH14
114.8063721,-33.68868897,15,FH15
114.8563721,-33.90118897,16,FH16
114.8763721,-33.83368897,17,FH17
114.8213721,-33.79118897,18,FH18
114.8588721,-33.76868897,19,FH19
114.8738721,-33.78618897,20,FH20
114.8088721,-33.79368897,21,FH21
114.9388721,-33.86618897,22,FH22
114.8288721,-33.94618897,23,FH23
114.8438721,-33.66868897,24,FH24
114.8163721,-33.87868897,25,FH25
114.8288721,-33.81118897,26,FH26
114.8713721,-33.83618897,27,FH27
114.9338721,-33.76368897,28,FH28
114.9463721,-33.86618897,29,FH29
114.8888721,-33.75118897,30,FH30
114.8238721,-33.67368897,31,FH31
114.9463721,-33.69618897,32,FH32
114.8263721,-33.70868897,33,FH33
114.8838721,-33.78618897,34,FH34
114.9313721,-33.88368897,35,FH35
114.9338721,-33.69868897,36,FH36
114.8138721,-33.71118897,37,FH37
114.9238721,-33.76618897,38,FH38
114.9313721,-33.90368897,39,FH39
114.8888721,-33.92368897,40,FH40
114.8388721,-33.67118897,41,FH41
114.8113721,-33.88118897,42,FH42
114.8238721,-33.98368897,43,FH43
114.8638721,-33.77118897,44,FH44
114.7988721,-33.69368897,45,FH45
114.9288721,-33.76618897,46,FH46
114.8488721,-33.90618897,47,FH47
114.8138721,-33.79618897,48,FH48
114.9163721,-33.92118897,49,FH49
114.9313721,-33.68118897,50,FH50
114.8538721,-33.90618897,51,FH51
114.8888721,-33.99118897,52,FH52
114.9013721,-33.92368897,53,FH53
114.9388721,-33.76618897,54,FH54
114.9088721,-33.92368897,55,FH55
114.8663721,-33.83118897,56,FH56
114.8113721,-33.78868897,57,FH57
114.8413721,-33.66368897,58,FH58
114.8188721,-33.66868897,59,FH59
114.8213721,-33.81618897,60,FH60
114.8638721,-33.84118897,61,FH61
114.8813721,-33.75618897,62,FH62
114.8163721,-33.67868897,63,FH63
114.9388721,-33.70118897,64,FH64
114.8188721,-33.71368897,65,FH65
114.9363721,-33.90618897,66,FH66
114.9238721,-33.88868897,67,FH67
114.8288721,-33.95118897,68,FH68
114.8038721,-33.69618897,69,FH69
114.8463721,-33.67368897,70,FH70
114.8188721,-33.88368897,71,FH71
114.9288721,-33.88868897,72,FH72
114.8188721,-33.79868897,73,FH73
114.8063721,-33.73118897,74,FH74
114.9488721,-33.87118897,75,FH75
114.8588721,-33.90868897,76,FH76
114.8763721,-33.99618897,77,FH77
114.9163721,-33.89118897,78,FH78
114.8088721,-33.88618897,79,FH79
114.7938721,-33.73368897,80,FH80
114.8738721,-33.79368897,81,FH81
114.9238721,-33.68618897,82,FH82
114.8463721,-33.91118897,83,FH83
114.7988721,-33.73368897,84,FH84
114.9138721,-33.92618897,85,FH85
114.9413721,-33.87368897,86,FH86
114.8938721,-33.92868897,87,FH87
114.9313721,-33.77118897,88,FH88
114.8013721,-33.68618897,89,FH89
114.9438721,-33.86118897,90,FH90
114.9438721,-33.70368897,91,FH91
114.8713721,-33.84368897,92,FH92
114.8688721,-33.77618897,93,FH93
114.9413721,-33.90868897,94,FH94
114.8913721,-33.75868897,95,FH95
114.8338721,-33.81868897,96,FH96
114.9488721,-33.70368897,97,FH97
114.8863721,-33.79368897,98,FH98
114.8363721,-33.95368897,99,FH99
114.8363721,-33.98868897,100,FH100
114.8213721,-33.71868897,101,FH101
114.9288721,-33.68868897,102,FH102
114.8038721,-33.73618897,103,FH103
114.8313721,-33.99118897,104,FH104
114.9263721,-33.87868897,105,FH105
114.8163721,-33.78868897,106,FH106
114.9313721,-33.67368897,107,FH107
114.9238721,-33.76118897,108,FH108
114.9088721,-33.91618897,109,FH109
114.8213721,-33.80868897,110,FH110
114.8788721,-33.98618897,111,FH111
114.7963721,-33.68868897,112,FH112
114.7963721,-33.72368897,113,FH113
114.8813721,-33.74868897,114,FH114
114.809825,-33.669868,C01,FHC01
114.813293,-33.72358,C02,FHC02
114.819555,-33.948622,C03,FHC03
114.937827,-33.683135,A,FHA
114.957127,-33.681655,B,FHB
114.965092,-33.680718,C,FHC
114.958507,-33.686897,D,FHD
114.951172,-33.687267,E,FHE
