"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","11.98600","Carangidae","Pseudocaranx","spp",NA,1,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","4.74133","Labridae","Austrolabrus","maculatus",NA,2,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","37.76867","Labridae","Coris","auricularis",NA,5,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","23.57200","Labridae","Ophthalmolepis","lineolatus",NA,2,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","28.11067","Labridae","Pseudolabrus","biserialis",NA,17,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","34.51200","Pomacentridae","Chromis","klunzingeri",NA,36,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","15.33000","Scorpididae","Tilodon","sexfasciatus",NA,1,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","1.17933","Serranidae","Caesioperca","sp1",NA,13,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","3.92000","Serranidae","Hypoplectrodes","nigroruber",NA,1,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","13.02933","Sparidae","Chrysophrys","auratus",NA,1,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","01","01_L372.avi","1","58.76267","Triakidae","Furgaleus","macki",NA,1,"-34.128599","114.930865","20200602","09:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","9.54400","Carangidae","Seriola","hippos","Check",1,"-34.125316","114.928838","20200602","09:18","South-west","No-take",NA,"44.4","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","48.77733","Carangidae","Seriola","lalandi","check",1,"-34.125316","114.928838","20200602","09:18","South-west","No-take",NA,"44.4","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","48.92600","Carangidae",NA,NA,NA,3,"-34.125316","114.928838","20200602","09:18","South-west","No-take",NA,"44.4","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","3.52333","Gerreidae","Parequula","melbournensis",NA,1,"-34.125316","114.928838","20200602","09:18","South-west","No-take",NA,"44.4","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","30.45867","Labridae","Ophthalmolepis","lineolatus",NA,2,"-34.125316","114.928838","20200602","09:18","South-west","No-take",NA,"44.4","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","4.25400","Labridae","Pseudolabrus","biserialis",NA,10,"-34.125316","114.928838","20200602","09:18","South-west","No-take",NA,"44.4","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs","02","02_L378.avi","1","18.90000","Monacanthidae","Meuschenia","galii",NA,1,"-34.125316","114.928838","20200602","09:18","South-west","No-take",NA,"44.4","Hayley","Yes",NA
