"campaignid","dataset","planned.or.exploratory","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-06_south-west_stereo-BRUVs",NA,"MBH","1","-34.128599","114.930865","20200602","9:10","South-west","No-take",NA,"46.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","2","-34.125316","114.928838","20200602","9:18","South-west","No-take",NA,"44.4","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","3","-34.126906","114.925945","20200602","9:27","South-west","No-take",NA,"39.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","4","-34.122634","114.920337","20200602","9:44","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","5","-34.131497","114.915753","20200602","9:57","South-west","No-take",NA,"44.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","6","-34.132842","114.912405","20200602","10:06","South-west","No-take",NA,"43.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","7","-34.134771","114.910241","20200602","10:16","South-west","No-take",NA,"43.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","8","-34.129352","114.911755","20200602","13:48","South-west","No-take",NA,"39.6","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","9","-34.119541","114.916105","20200602","11:45","South-west","No-take",NA,"43.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","10","-34.117294","114.918685","20200602","11:51","South-west","No-take",NA,"45.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","11","-34.117752","114.92306","20200602","13:55","South-west","No-take",NA,"45.08","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","12","-34.132262","114.928545","20200602","12:03","South-west","No-take",NA,"40.1","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"Captains pick","13","-34.128506","114.930547","20200602","12:09","South-west","No-take",NA,"45.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"Captains pick","14","-34.128381","114.925457","20200602","12:16","South-west","No-take",NA,"35","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"Captains pick","15","-34.125012","114.91032","20200602","14:09","South-west","No-take",NA,"43","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"Captains pick","16","-34.126181","114.906548","20200602","14:14","South-west","No-take",NA,"40.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"Captains pick","17","-34.132142","114.92083","20200602","14:20","South-west","No-take",NA,"40.2","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"Captains pick","18","-34.128679","114.924078","20200602","14:25","South-west","No-take",NA,"35.8","Hayley","Yes","18 left converted wrong. Check BU to convert again"
"2020-06_south-west_stereo-BRUVs",NA,"Captains pick","19","-34.122542","114.927818","20200602","14:30","South-west","No-take",NA,"44.9",NA,NA,"No"
"2020-06_south-west_stereo-BRUVs",NA,"MBH","20","-34.130219","114.820233","20200603","8:16","South-west","No-take",NA,"51.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","21","-34.128151","114.817448","20200603","8:24","South-west","No-take",NA,"52.4","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","22","-34.126271","114.819552","20200603","8:32","South-west","No-take",NA,"51.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","23","-34.124217","114.817017","20200603","8:38","South-west","No-take",NA,"51.3","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","24","-34.118739","114.826402","20200603","8:47","South-west","No-take",NA,"49.8","Hayey","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","25","-34.116829","114.828432","20200603","8:54","South-west","No-take",NA,"48.4","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","26","-34.120881","114.828907","20200603","9:02","South-west","No-take",NA,"48.4","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","27","-34.121824","114.832898","20200603","10:19","South-west","No-take",NA,"47.8","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","28","-34.112916","114.852137","20200603","10:27","South-west","No-take",NA,"44.7","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","29","-34.111084","114.855648","20200603","10:31","South-west","No-take",NA,"43","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","30","-34.112094","114.85946","20200603","10:37","South-west","No-take",NA,"42.9","Hayley","Yes",NA
"2020-06_south-west_stereo-BRUVs",NA,"MBH","31","-34.116007","114.860738","20200603","10:42","South-west","No-take",NA,"44.4","Hayley","Yes",NA
