deployment,sample,cluster,notes
Jun-20,1,c1,too close to 13
Jun-20,2,c1,no
Jun-20,3,c1,no
Jun-20,4,c2,no
Jun-20,5,c3,no
Jun-20,6,c3,no
Jun-20,7,c3,no
Jun-20,8,c3,no
Jun-20,9,c2,no
Jun-20,10,c2,no
Jun-20,11,c2,no
Jun-20,12,c1,no
Jun-20,13,c1,too close to 1
Jun-20,14,nc,no
Jun-20,15,nc,no
Jun-20,16,nc,no
Jun-20,17,nc,no
Jun-20,18,nc,no
Jun-20,20,c8,no
Jun-20,21,c8,no
Jun-20,22,c8,no
Jun-20,23,c8,no
Jun-20,24,c7,no
Jun-20,25,c7,no
Jun-20,26,c7,no
Jun-20,27,c7,no
Jun-20,28,c6,no
Jun-20,29,c6,no
Jun-20,30,c6,no
Jun-20,31,c6,no
Jun-20,32,c5,no
Jun-20,33,c5,no
Jun-20,34,c5,no
Jun-20,35,c5,no
Jun-20,36,c4,no
Jun-20,37,c4,no
Jun-20,38,c4,no
Jun-20,39,c4,no
Jun-20,40,c4,no
