"","X","sample","family","unique.name","genus","full.name","species","maxn","latitude","longitude","date","time","location","status","depth","cluster","bathy","flowdir","slope","Temp_mean","Temp_sterr","Temp_trend","mean.relief","sd.relief","detailed.Consolidated.Boulder","detailed.Consolidated.Rock","detailed.Macroalgae.Erect.course.branching","detailed.Macroalgae.Erect.fine.branching","detailed.Macroalgae.Large.canopy.forming","detailed.Macroalgae.Small.mixed","detailed.Seagrasses.Strap.like.leaves","detailed.Sponges.Erect.forms","detailed.Sponges.Massive.forms","detailed.Sponges.Small.mixed","detailed.Unconsolidated.Pebble...gravel..pebble.10.64mm.","detailed.Unconsolidated.Sand","detailed.Unconsolidated.Sand...mud..coarse.sand."
"1",1,"1","Carangidae","Carangidae Pseudocaranx spp","Pseudocaranx","Pseudocaranx spp","spp",1,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"2",2,"1","Labridae","Labridae Austrolabrus maculatus","Austrolabrus","Austrolabrus maculatus","maculatus",2,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"3",3,"1","Labridae","Labridae Coris auricularis","Coris","Coris auricularis","auricularis",5,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"4",4,"1","Labridae","Labridae Ophthalmolepis lineolatus","Ophthalmolepis","Ophthalmolepis lineolatus","lineolatus",2,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"5",5,"1","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",17,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"6",6,"1","Pomacentridae","Pomacentridae Chromis klunzingeri","Chromis","Chromis klunzingeri","klunzingeri",36,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"7",7,"1","Scorpididae","Scorpididae Tilodon sexfasciatus","Tilodon","Tilodon sexfasciatus","sexfasciatus",1,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"8",8,"1","Serranidae","Serranidae Caesioperca sp1","Caesioperca","Caesioperca sp1","sp1",13,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"9",9,"1","Serranidae","Serranidae Hypoplectrodes nigroruber","Hypoplectrodes","Hypoplectrodes nigroruber","nigroruber",1,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"10",10,"1","Sparidae","Sparidae Chrysophrys auratus","Chrysophrys","Chrysophrys auratus","auratus",1,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"11",11,"1","Triakidae","Triakidae Furgaleus macki","Furgaleus","Furgaleus macki","macki",1,-34.128599,114.930865,20200602,"09:10","South-west","No-take",46.7,"c1",-40,1,0.0230063013732433,19.764087677002,0.0187142491340637,0.237060010433197,3.11538461538462,0.325812593608421,0,0,0,7.69230769230769,0,0,0,3.84615384615385,15.3846153846154,73.0769230769231,0,0,0
"12",12,"10","Batrachoididae","Batrachoididae Batrachomoeus rubricephalus","Batrachomoeus","Batrachomoeus rubricephalus","rubricephalus",1,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"13",13,"10","Carangidae","Carangidae Pseudocaranx spp","Pseudocaranx","Pseudocaranx spp","spp",2,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"14",14,"10","Cheilodactylidae","Cheilodactylidae Nemadactylus valenciennesi","Nemadactylus","Nemadactylus valenciennesi","valenciennesi",1,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"15",15,"10","Labridae","Labridae Achoerodus gouldii","Achoerodus","Achoerodus gouldii","gouldii",1,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
"16",16,"10","Labridae","Labridae Austrolabrus maculatus","Austrolabrus","Austrolabrus maculatus","maculatus",1,-34.117294,114.918685,20200602,"11:51","South-west","No-take",45.7,"c2",-44,32,0.000706260907463729,19.764087677002,0.0187142491340637,0.237060010433197,2.45833333333333,0.508977377704052,0,0,0,50,0,0,0,0,0,50,0,0,0
