"","sample","campaignid.x","full.name","family","genus","species","maxn","campaignid.y","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","deployment","cluster","notes"
"1","1","2020-06_south-west_stereo-BRUVs","Carangidae Pseudocaranx spp","Carangidae","Pseudocaranx","spp",1,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"2","1","2020-06_south-west_stereo-BRUVs","Labridae Austrolabrus maculatus","Labridae","Austrolabrus","maculatus",2,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"3","1","2020-06_south-west_stereo-BRUVs","Labridae Coris auricularis","Labridae","Coris","auricularis",5,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"4","1","2020-06_south-west_stereo-BRUVs","Labridae Ophthalmolepis lineolatus","Labridae","Ophthalmolepis","lineolatus",2,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"5","1","2020-06_south-west_stereo-BRUVs","Labridae Pseudolabrus biserialis","Labridae","Pseudolabrus","biserialis",17,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"6","1","2020-06_south-west_stereo-BRUVs","Pomacentridae Chromis klunzingeri","Pomacentridae","Chromis","klunzingeri",36,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"7","1","2020-06_south-west_stereo-BRUVs","Scorpididae Tilodon sexfasciatus","Scorpididae","Tilodon","sexfasciatus",1,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"8","1","2020-06_south-west_stereo-BRUVs","Serranidae Caesioperca sp1","Serranidae","Caesioperca","sp1",13,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"9","1","2020-06_south-west_stereo-BRUVs","Serranidae Hypoplectrodes nigroruber","Serranidae","Hypoplectrodes","nigroruber",1,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"10","1","2020-06_south-west_stereo-BRUVs","Sparidae Chrysophrys auratus","Sparidae","Chrysophrys","auratus",1,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"11","1","2020-06_south-west_stereo-BRUVs","Triakidae Furgaleus macki","Triakidae","Furgaleus","macki",1,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"12","10","2020-06_south-west_stereo-BRUVs","Batrachoididae Batrachomoeus rubricephalus","Batrachoididae","Batrachomoeus","rubricephalus",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"13","10","2020-06_south-west_stereo-BRUVs","Carangidae Pseudocaranx spp","Carangidae","Pseudocaranx","spp",2,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"14","10","2020-06_south-west_stereo-BRUVs","Cheilodactylidae Nemadactylus valenciennesi","Cheilodactylidae","Nemadactylus","valenciennesi",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"15","10","2020-06_south-west_stereo-BRUVs","Labridae Achoerodus gouldii","Labridae","Achoerodus","gouldii",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"16","10","2020-06_south-west_stereo-BRUVs","Labridae Austrolabrus maculatus","Labridae","Austrolabrus","maculatus",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"17","10","2020-06_south-west_stereo-BRUVs","Labridae Choerodon rubescens","Labridae","Choerodon","rubescens",1,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"18","10","2020-06_south-west_stereo-BRUVs","Labridae Coris auricularis","Labridae","Coris","auricularis",9,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
"19","10","2020-06_south-west_stereo-BRUVs","Labridae Ophthalmolepis lineolatus","Labridae","Ophthalmolepis","lineolatus",4,"2020-06_south-west_stereo-BRUVs",-34.117294,114.918685,20200602,"11:51","South-west","No-take",NA,45.7,"Hayley","Yes",NA,"Jun-20","c2","no"
