"","campaignid","sample","broad.bryozoa","broad.consolidated","broad.hydroids","broad.macroalgae","broad.octocoral.black","broad.reef","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","fov.facing.up","fov.limited","fov.open","mean.relief","sd.relief","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"1","2020-06_south-west_stereo-BRUVs","01",0,0,0,7.69230769230769,0,100,0,92.3076923076923,0,0,0,10,90,3.11538461538462,0.325812593608421,NA,"MBH",-34.128599,114.930865,20200602,"09:10","South-west","No-take","c1",46.7,"Hayley","Yes",NA,"National Park Zone",NA
"2","2020-06_south-west_stereo-BRUVs","02",0,0,0,25,0,100,0,75,0,0,0,25,75,2.95,0.223606797749979,NA,"MBH",-34.125316,114.928838,20200602,"09:18","South-west","No-take","c1",44.4,"Hayley","Yes",NA,"National Park Zone",NA
"3","2020-06_south-west_stereo-BRUVs","03",0,0,0,100,0,100,0,0,0,0,0,0,100,3,0.377964473009227,NA,"MBH",-34.126906,114.925945,20200602,"09:27","South-west","No-take","c1",39.3,"Hayley","Yes",NA,"National Park Zone",NA
"4","2020-06_south-west_stereo-BRUVs","04",0,0,0,0,0,0,0,0,0,100,0,0,100,0.692307692307692,0.470678724331642,NA,"MBH",-34.122634,114.920337,20200602,"09:44","South-west","No-take","c2",44.1,"Hayley","Yes",NA,"National Park Zone",NA
"5","2020-06_south-west_stereo-BRUVs","05",0,4.34782608695652,0,86.9565217391304,0,99.9999999999999,0,8.69565217391304,0,0,0,5,95,2.95652173913043,0.474654024198412,NA,"MBH",-34.131497,114.915753,20200602,"09:57","South-west","No-take","c3",44.1,"Hayley","Yes",NA,"National Park Zone",NA
"6","2020-06_south-west_stereo-BRUVs","06",0,4.34782608695652,0,65.2173913043478,0,95.6521739130434,26.0869565217391,0,0,4.34782608695652,0,0,100,2.78260869565217,0.518434859512082,NA,"MBH",-34.132842,114.912405,20200602,"10:06","South-west","No-take","c3",43.2,"Hayley","Yes",NA,"National Park Zone",NA
"7","2020-06_south-west_stereo-BRUVs","07",0,0,0,68,0,84,0,16,0,16,0,10,90,2.6,0.763762615825973,NA,"MBH",-34.134771,114.910241,20200602,"10:16","South-west","No-take","c3",43.9,"Hayley","Yes",NA,"National Park Zone",NA
"8","2020-06_south-west_stereo-BRUVs","08",0,16.6666666666667,0,36.1111111111111,0,100,0,47.2222222222222,0,0,0,35,65,3.38888888888889,0.687761494281174,NA,"MBH",-34.129352,114.911755,20200602,"13:48","South-west","No-take","c3",39.6,"Hayley","Yes",NA,"National Park Zone",NA
"9","2020-06_south-west_stereo-BRUVs","09",0,0,0,55.1724137931034,0,62.0689655172413,0,6.89655172413793,0,37.9310344827586,0,5,95,2.06896551724138,1.13171912475662,NA,"MBH",-34.119541,114.916105,20200602,"11:45","South-west","No-take","c2",43.8,"Hayley","Yes",NA,"National Park Zone",NA
"10","2020-06_south-west_stereo-BRUVs","10",0,0,0,50,0,100,0,50,0,0,0,15,85,2.45833333333333,0.508977377704052,NA,"MBH",-34.117294,114.918685,20200602,"11:51","South-west","No-take","c2",45.7,"Hayley","Yes",NA,"National Park Zone",NA
