"campaignid","sample","slope","aspect","roughness","tpi"
"2020-06_south-west_stereo-BRUVs","01",0.0230063013732433,1.31246495246887,14,1.25
"2020-06_south-west_stereo-BRUVs","02",0.0176542047411203,0.5140380859375,11,-1.25
"2020-06_south-west_stereo-BRUVs","03",0.0178407672792673,6.13054513931274,12,0.375
"2020-06_south-west_stereo-BRUVs","04",0.00814312137663364,1.04747939109802,5,-0.5
"2020-06_south-west_stereo-BRUVs","05",0.00651136552914977,4.71238899230957,3,-1.125
"2020-06_south-west_stereo-BRUVs","06",0.000706347171217203,0.876072406768799,1,-0.125
"2020-06_south-west_stereo-BRUVs","07",0.000706347171217203,0.876072406768799,1,-0.125
"2020-06_south-west_stereo-BRUVs","08",0.00452181650325656,3.14159274101257,3,0
"2020-06_south-west_stereo-BRUVs","09",0.0042184772901237,0.540354073047638,3,-1.375
"2020-06_south-west_stereo-BRUVs","10",0.000706260907463729,2.26562213897705,1,-0.25
"2020-06_south-west_stereo-BRUVs","11",0.000706273247487843,2.26560759544373,1,0.25
"2020-06_south-west_stereo-BRUVs","12",0.0137446541339159,2.1642735004425,8,1.25
"2020-06_south-west_stereo-BRUVs","13",0.0230063013732433,1.31246495246887,14,1.25
"2020-06_south-west_stereo-BRUVs","14",0.0085740964859724,5.82426643371582,8,4.25
"2020-06_south-west_stereo-BRUVs","15",0.00486665079370141,3.8743782043457,4,1.25
"2020-06_south-west_stereo-BRUVs","16",0.00217035412788391,4.71238899230957,1,-0.375
"2020-06_south-west_stereo-BRUVs","17",0.00718320906162262,4.52240037918091,4,0.875
"2020-06_south-west_stereo-BRUVs","18",0.00973196048289537,5.622971534729,9,1.5
"2020-06_south-west_stereo-BRUVs","19",0.00632776832208037,0.54038017988205,5,-0.25
"2020-06_south-west_stereo-BRUVs","20",0.00282533233985305,4.01765060424805,2,-0.25
"2020-06_south-west_stereo-BRUVs","21",0.00434081582352519,4.71238899230957,2,0
"2020-06_south-west_stereo-BRUVs","22",0.00434068776667118,4.71238899230957,2,0
"2020-06_south-west_stereo-BRUVs","23",0.00434055924415588,4.71238899230957,2,0
"2020-06_south-west_stereo-BRUVs","24",0.00141254579648376,4.01757764816284,2,0
"2020-06_south-west_stereo-BRUVs","25",0.00235099997371435,4.31753492355347,1,0.5
"2020-06_south-west_stereo-BRUVs","26",0.00217022560536861,4.71238899230957,1,-0.375
"2020-06_south-west_stereo-BRUVs","27",0.00168931379448622,4.44141149520874,1,-0.25
"2020-06_south-west_stereo-BRUVs","28",0.00235094083473086,5.10725355148315,1,-0.5
"2020-06_south-west_stereo-BRUVs","29",0.00146100483834743,3.52201724052429,1,-0.25
"2020-06_south-west_stereo-BRUVs","30",0.00210919859819114,3.68190765380859,1,-0.5
"2020-06_south-west_stereo-BRUVs","31",0.00146101671271026,5.90274047851562,1,-0.25
"2020-06_south-west_stereo-BRUVs","32",3.46944695195361e-18,4.71238899230957,0,0
"2020-06_south-west_stereo-BRUVs","33",3.46944695195361e-18,1.57079637050629,0,0
"2020-06_south-west_stereo-BRUVs","34",0.000706334831193089,4.01765060424805,1,-0.125
"2020-06_south-west_stereo-BRUVs","35",0.00217054667882621,4.71238899230957,1,-0.375
"2020-06_south-west_stereo-BRUVs","36",0.000706334831193089,5.40712738037109,1,0.125
"2020-06_south-west_stereo-BRUVs","37",0.00235123699530959,5.10720109939575,1,-0.5
"2020-06_south-west_stereo-BRUVs","38",3.46944695195361e-18,1.57079637050629,0,0
"2020-06_south-west_stereo-BRUVs","39",0,1.57079637050629,0,0
"2020-06_south-west_stereo-BRUVs","40",0,1.57079637050629,0,0
"2020-06_south-west_stereo-BRUVs","08 - failed",0.00452181650325656,3.14159274101257,3,0
"2020-06_south-west_stereo-BRUVs","11 - failed",0.000706273247487843,2.26560759544373,1,0.25
"2020-10_south-west_stereo-BRUVs","FH102",0.0018087369389832,3.77475828372553e-15,1,0.375
"2020-10_south-west_stereo-BRUVs","FHA",0.000704154546838254,0.873474717140198,1,-0.125
"2020-10_south-west_stereo-BRUVs","FHB",0.0035206985194236,5.40972471237183,3,-0.625
"2020-10_south-west_stereo-BRUVs","FHD",0.0105019863694906,4.9293646812439,7,-1
"2020-10_south-west_stereo-BRUVs","FHE",0.00401468155905604,5.05707025527954,2,-0.25
"2020-10_south-west_stereo-BRUVs","FH31",0.00168110686354339,4.98472309112549,1,0.25
"2020-10_south-west_stereo-BRUVs","FH5",0.00422519166022539,5.4096531867981,3,-0.5
"2020-10_south-west_stereo-BRUVs","FH108",0.00146018003579229,3.52060222625732,1,0.25
"2020-10_south-west_stereo-BRUVs","FH6",0.00215968303382397,4.71238899230957,1,0.375
"2020-10_south-west_stereo-BRUVs","FH95",0.00140903179999441,0.873904824256897,2,0
"2020-10_south-west_stereo-BRUVs","IO272",0.00776290521025658,4.01693916320801,6,-0.5
"2020-10_south-west_stereo-BRUVs","FH44",0.0021613200660795,1.57079637050629,1,-0.375
"2020-10_south-west_stereo-BRUVs","FH20",0.00168315274640918,1.29880177974701,1,-0.25
"2020-10_south-west_stereo-BRUVs","FH7",0.000704637146554887,2.26754426956177,1,0.125
"2020-10_south-west_stereo-BRUVs","FH34",0.000704649253748357,2.26752996444702,1,-0.125
"2020-10_south-west_stereo-BRUVs","FH18",0.0042280163615942,4.01568412780762,3,-0.5
"2020-10_south-west_stereo-BRUVs","FH26",0.00140953995287418,4.01579904556274,2,0
"2020-10_south-west_stereo-BRUVs","FH27",0,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO333",0.00382437207736075,4.59387445449829,2,0.125
"2020-10_south-west_stereo-BRUVs","IO332",0.0057175406254828,4.3905143737793,4,-0.125
"2020-10_south-west_stereo-BRUVs","IO319",0.00638013333082199,4.35015439987183,4,-0.375
"2020-10_south-west_stereo-BRUVs","IO337",0.00211715861223638,4.01692485809326,3,1.125
"2020-10_south-west_stereo-BRUVs","IOREDO344",0.000904369226191193,3.14159274101257,1,0.25
"2020-10_south-west_stereo-BRUVs","IO269",0.00302926125004888,4.24806833267212,2,-0.125
"2020-10_south-west_stereo-BRUVs","IO300",0.000706113176420331,4.01738882064819,1,-0.125
"2020-10_south-west_stereo-BRUVs","IO58",0.0145643334835768,4.46140050888062,9,-0.5
"2020-10_south-west_stereo-BRUVs","IO343",0.00235070404596627,4.31748247146606,1,-0.5
"2020-10_south-west_stereo-BRUVs","IO62",0.0154712907969952,4.38510227203369,9,-0.875
"2020-10_south-west_stereo-BRUVs","IO282",0.0116186449304223,4.51655387878418,7,-0.625
"2020-10_south-west_stereo-BRUVs","IO278",0.00146100483834743,0.380424678325653,1,0.25
"2020-10_south-west_stereo-BRUVs","IO277",0.0016890357946977,4.44136571884155,1,-0.25
"2020-10_south-west_stereo-BRUVs","IO110",0.00434145797044039,4.71238899230957,2,0
"2020-10_south-west_stereo-BRUVs","IO98",0.00565071823075414,4.01766490936279,4,0
"2020-10_south-west_stereo-BRUVs","IO95",0.00638227676972747,4.35028171539307,4,-0.625
"2020-10_south-west_stereo-BRUVs","IO264",0.00070578174199909,0.875404596328735,1,0.125
"2020-10_south-west_stereo-BRUVs","IO339",6.93889390390723e-18,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO352",1.38777878078145e-17,4.71238899230957,0,0
"2020-10_south-west_stereo-BRUVs","IO323",0.00168764835689217,1.84204792976379,1,-0.25
"2020-10_south-west_stereo-BRUVs","IO263",0.00211719539947808,2.26624608039856,1,0.625
"2020-10_south-west_stereo-BRUVs","IO307",0.00403277343139052,4.36931800842285,3,0.5
"2020-10_south-west_stereo-BRUVs","IO350",0.00216779322363436,4.71238899230957,1,0.375
"2020-10_south-west_stereo-BRUVs","IO369",0,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO37",0.00403235061094165,4.36928081512451,3,-0.5
"2020-10_south-west_stereo-BRUVs","IO351",0.00211752625182271,2.26611566543579,1,0.625
"2020-10_south-west_stereo-BRUVs","IO40",0.00470138201490045,4.31748247146606,3,0.375
"2020-10_south-west_stereo-BRUVs","IOCP2311",1.38777878078145e-17,4.71238899230957,0,0
"2020-10_south-west_stereo-BRUVs","FH37",3.46944695195361e-18,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO338",0.00108319637365639,1.57079637050629,1,-0.875
"2020-10_south-west_stereo-BRUVs","IO253",0.00581392599269748,5.28809452056885,4,-0.125
"2020-10_south-west_stereo-BRUVs","IO364",0.00421703001484275,3.68137431144714,3,-0.375
"2020-10_south-west_stereo-BRUVs","IO180",0.00506096985191107,4.44103097915649,3,0.25
"2020-10_south-west_stereo-BRUVs","IOCP11-1",0.0076379650272429,4.59370851516724,4,0.375
"2020-10_south-west_stereo-BRUVs","IOCP11-2",0.00721493037417531,4.11310482025146,5,0.25
"2020-10_south-west_stereo-BRUVs","IO164",0.00168769457377493,1.84204030036926,1,-0.25
"2020-10_south-west_stereo-BRUVs","IO184",0,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO165",0.00168787920847535,1.29958271980286,1,0.25
"2020-10_south-west_stereo-BRUVs","IO374",0.0265713911503553,4.76345252990723,14,1.5
"2020-10_south-west_stereo-BRUVs","IO361",0.0254970844835043,4.49797868728638,14,-0.625
"2020-10_south-west_stereo-BRUVs","IO155",6.93889390390723e-18,4.71238899230957,0,0
"2020-10_south-west_stereo-BRUVs","IO325",0.0299603920429945,4.42163324356079,20,-0.375
"2020-10_south-west_stereo-BRUVs","IOC06",0.00168797164224088,1.29959797859192,1,-0.25
"2020-10_south-west_stereo-BRUVs","IO266",0.0147672044113278,4.30300712585449,11,0.125
"2020-10_south-west_stereo-BRUVs","IO327",0.0237061399966478,0.787488222122192,21,0
"2020-10_south-west_stereo-BRUVs","IO210",0.00146095722448081,3.52193593978882,1,-0.5
"2020-10_south-west_stereo-BRUVs","IO17",0.00211800495162606,0.875665605068207,1,0.375
"2020-10_south-west_stereo-BRUVs","IO334",0.00549658248201013,4.54710626602173,4,0.75
"2020-10_south-west_stereo-BRUVs","IO267",0.0131116146221757,1.255215883255,16,-11.25
"2020-10_south-west_stereo-BRUVs","IO312",0.00706241279840469,4.77645874023438,5,0.25
"2020-10_south-west_stereo-BRUVs","IO81",0.00168889679480344,1.29975020885468,1,-0.25
"2020-10_south-west_stereo-BRUVs","IO158",0.00282238540239632,5.40799808502197,2,0.5
"2020-10_south-west_stereo-BRUVs","IO207",0.00416745292022824,3.8498101234436,3,-0.5
"2020-10_south-west_stereo-BRUVs","IO145",0.00274595012888312,4.54696273803711,3,0.25
"2020-10_south-west_stereo-BRUVs","IO91",3.46944695195361e-18,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO80",0.00216952036134899,1.57079637050629,1,-0.375
"2020-10_south-west_stereo-BRUVs","IO335",0.0054219956509769,4.71238899230957,4,0
"2020-10_south-west_stereo-BRUVs","IO204",0.00506484694778919,4.98353385925293,3,0.125
"2020-10_south-west_stereo-BRUVs","IO3",0.00382270175032318,4.59382247924805,2,0
"2020-10_south-west_stereo-BRUVs","FH32",0.00302098831161857,1.10510361194611,3,-0.5
"2020-10_south-west_stereo-BRUVs","IO254",0.00506221456453204,4.98367881774902,3,0.25
"2020-10_south-west_stereo-BRUVs","IO239",0.00382336950860918,4.83093452453613,3,-0.625
"2020-10_south-west_stereo-BRUVs","FH36",0.00234121666289866,5.10898542404175,1,0.5
"2020-10_south-west_stereo-BRUVs","IO1",0.00490142730996013,4.62000274658203,3,0.625
"2020-10_south-west_stereo-BRUVs","IO357",0.00325398589484394,4.71238899230957,3,-0.375
"2020-10_south-west_stereo-BRUVs","IO237",0.00470031751319766,4.31738805770874,3,0.875
"2020-10_south-west_stereo-BRUVs","FH54",0.00273907231166959,4.54654359817505,2,-0.5
"2020-10_south-west_stereo-BRUVs","IO73",6.93889390390723e-18,4.71238899230957,0,0
"2020-10_south-west_stereo-BRUVs","IO4",0.00740423984825611,5.02269458770752,4,0.25
"2020-10_south-west_stereo-BRUVs","IO152",0,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO218",0.00216900813393295,4.71238899230957,1,-0.375
"2020-10_south-west_stereo-BRUVs","IO344",0.000904369226191193,3.14159274101257,1,0.25
"2020-10_south-west_stereo-BRUVs","IO215",0.00282410159707069,5.40749073028564,3,-0.375
"2020-10_south-west_stereo-BRUVs","IO125",0.00235082255676389,5.10727453231812,1,-0.5
"2020-10_south-west_stereo-BRUVs","IO123",0.00108492176514119,4.71238899230957,1,-0.5
"2020-10_south-west_stereo-BRUVs","IO132",0,1.57079637050629,0,0
"2020-10_south-west_stereo-BRUVs","IO225",0.00168838771060109,4.44125890731812,1,-0.25
