"campaignid","sample","family","genus","species","length","number","range"
"2020-10_south-west_stereo-BRUVs","FHA","Pinguipedidae","Parapercis","ramsayi",122.18934,1,2069.20296
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Austrolabrus","maculatus",56.87965,1,1677.88666
"2020-10_south-west_stereo-BRUVs","FHA","Monacanthidae","Acanthaluteres","vittiger",207.96357,1,2726.21061
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Austrolabrus","maculatus",110.01759,1,1939.74002
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Suezichthys","bifurcatus",135.05037,1,4678.78961
"2020-10_south-west_stereo-BRUVs","FHA","Gerreidae","Parequula","melbournensis",127.11841,1,1866.84335
"2020-10_south-west_stereo-BRUVs","FHA","Gerreidae","Parequula","melbournensis",895.95868,1,2437.96377
"2020-10_south-west_stereo-BRUVs","FHA","Gerreidae","Parequula","melbournensis",178.52965,1,2348.33381
"2020-10_south-west_stereo-BRUVs","FHA","Rhinobatidae","Aptychotrema","vincentiana",863.28712,1,1896.10978
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Eupetrichthys","angustipes",69.54598,1,3387.53368
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Eupetrichthys","angustipes",580.71495,1,3480.31269
"2020-10_south-west_stereo-BRUVs","FHA","Neosebastidae","Neosebastes","pandus",383.5158,1,2963.65911
"2020-10_south-west_stereo-BRUVs","FHA","Neosebastidae","Neosebastes","pandus",305.02505,1,4499.71568
"2020-10_south-west_stereo-BRUVs","FHA","Diodontidae","Diodon","nicthemerus",316.27915,1,2387.8809
"2020-10_south-west_stereo-BRUVs","FHA","Platycephalidae","Platycephalus","spp",255.88435,1,2187.20095
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",225.94025,1,2776.53332
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",146.43993,1,2403.51344
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",111.76005,1,2302.1246
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",169.1473,1,2253.9665
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",181.11776,1,2653.77804
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",134.84578,1,2785.96596
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",96.14484,1,2403.65589
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",105.46875,1,2455.49402
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",101.57527,1,2256.39325
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",92.5774,1,2205.21253
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",99.45397,1,2194.0516
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",87.95268,1,2252.42622
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",81.2984,1,2405.49647
"2020-10_south-west_stereo-BRUVs","FHA","Labridae","Coris","auricularis",136.54383,1,2723.25997
"2020-10_south-west_stereo-BRUVs","FHA","Rhinobatidae","Trygonorrhina","dumerilii",1150.18227,1,1771.84185
"2020-10_south-west_stereo-BRUVs","FHA","Rhinobatidae","Trygonorrhina","dumerilii",994.40635,1,1934.61637
"2020-10_south-west_stereo-BRUVs","FHA","Carangidae","Pseudocaranx","spp",187.29453,1,2191.93096
"2020-10_south-west_stereo-BRUVs","FHA","Oplegnathidae","Oplegnathus","woodwardi",380.31776,1,1035.33749
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Pseudolabrus","biserialis",124.78413,1,2497.51739
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Pseudolabrus","biserialis",110.56619,1,2823.33367
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Pseudolabrus","biserialis",109.24163,1,3705.84352
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Pseudolabrus","biserialis",109.11205,1,3671.56066
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Ophthalmolepis","lineolatus",92.16541,1,2351.77273
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Ophthalmolepis","lineolatus",132.81615,1,2878.33788
"2020-10_south-west_stereo-BRUVs","FH5","Serranidae","Caesioperca","spp",212.48162,1,4997.36201
"2020-10_south-west_stereo-BRUVs","FH5","Mullidae","Upeneichthys","vlamingii",254.91097,1,3372.72865
"2020-10_south-west_stereo-BRUVs","FH5","Monacanthidae","Meuschenia","flavolineata",228.8477,1,3751.00856
"2020-10_south-west_stereo-BRUVs","FH5","Cheilodactylidae","Nemadactylus","valenciennesi",511.04802,1,4370.24894
"2020-10_south-west_stereo-BRUVs","FH5","Cheilodactylidae","Nemadactylus","valenciennesi",454.91621,1,1791.27462
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Coris","auricularis",1594.39895,1,5474.4786
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Coris","auricularis",101.68261,1,1529.84255
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Coris","auricularis",121.69541,1,1501.21537
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Coris","auricularis",66.75719,1,1363.08357
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Coris","auricularis",113.49069,1,1713.68894
"2020-10_south-west_stereo-BRUVs","FH5","Sparidae","Chrysophrys","auratus",358.81629,1,2871.01442
"2020-10_south-west_stereo-BRUVs","FH5","Sparidae","Chrysophrys","auratus",361.5308,1,5125.22846
"2020-10_south-west_stereo-BRUVs","FH5","Sparidae","Chrysophrys","auratus",372.83739,1,1464.60809
"2020-10_south-west_stereo-BRUVs","FH5","Monacanthidae","Meuschenia","hippocrepis",274.67071,1,5717.30245
"2020-10_south-west_stereo-BRUVs","FH5","Rhinobatidae","Trygonorrhina","dumerilii",909.18263,1,6515.35102
"2020-10_south-west_stereo-BRUVs","FH5","Glaucosomatidae","Glaucosoma","hebraicum",579.78854,1,2263.03603
"2020-10_south-west_stereo-BRUVs","FH5","Glaucosomatidae","Glaucosoma","hebraicum",508.49493,1,6251.28651
"2020-10_south-west_stereo-BRUVs","FH5","Glaucosomatidae","Glaucosoma","hebraicum",300.18189,1,7136.20545
"2020-10_south-west_stereo-BRUVs","FH5","Glaucosomatidae","Glaucosoma","hebraicum",593.3654,1,3494.50211
"2020-10_south-west_stereo-BRUVs","FH5","Serranidae","Epinephelides","armatus",342.68972,1,2053.62227
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Bodianus","frenchii",320.5859,1,2060.70903
"2020-10_south-west_stereo-BRUVs","FH5","Labridae","Bodianus","frenchii",277.07316,1,4490.36014
"2020-10_south-west_stereo-BRUVs","FH5","Carangidae","Pseudocaranx","spp",350.31992,1,2455.69286
"2020-10_south-west_stereo-BRUVs","FH5","Carangidae","Pseudocaranx","spp",326.15531,1,2430.81024
"2020-10_south-west_stereo-BRUVs","FH5","Carangidae","Pseudocaranx","spp",380.45002,1,2387.05179
"2020-10_south-west_stereo-BRUVs","FH5","Pomacentridae","Parma","occidentalis",245.48145,1,2717.77757
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",140.60227,1,1344.17234
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",130.24063,1,1378.24127
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",179.72229,1,1041.90767
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",173.35455,1,1318.81406
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",176.44349,1,1329.12837
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",121.80974,1,1588.28139
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",181.42259,1,1264.53622
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",176.76851,1,1171.99144
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",185.16401,1,1184.68182
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",138.12525,1,1528.08199
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",202.43796,1,1043.40979
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",170.7474,1,1367.76045
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",179.6393,1,1603.77076
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",135.62526,1,1271.35828
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",174.5239,1,1543.75552
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",132.61546,1,1560.50312
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",179.56635,1,1364.36264
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",145.36541,1,1048.94402
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",179.63127,1,982.16417
"2020-10_south-west_stereo-BRUVs","FH5","Scorpididae","Neatypus","obliquus",178.84578,1,1062.71551
