"","cluster","cluster.new","number","n","coords.x1","coords.x2","sample","dataset","class"
"1","10620","C.FH.22","99","1",114.83637207,-33.953688965,"FH99","FH","MBH"
"2","10620","C.FH.22","23","1",114.82887207,-33.946188965,"FH23","FH","MBH"
"3","10620","C.FH.22","68","1",114.82887207,-33.951188965,"FH68","FH","MBH"
"4","1123","C.FH.4","45","1",114.79887207,-33.693688965,"FH45","FH","MBH"
"5","1123","C.FH.4","69","1",114.80387207,-33.696188965,"FH69","FH","MBH"
"6","1123","C.FH.4","15","1",114.80637207,-33.688688965,"FH15","FH","MBH"
"7","1123","C.FH.4","89","1",114.80137207,-33.686188965,"FH89","FH","MBH"
"8","1123","C.FH.4","112","1",114.79637207,-33.688688965,"FH112","FH","MBH"
"9","11922","C.FH.23","4","1",114.82637207,-33.978688965,"FH4","FH","MBH"
"10","11922","C.FH.23","13","1",114.83137207,-33.978688965,"FH13","FH","MBH"
"11","11922","C.FH.23","104","1",114.83137207,-33.991188965,"FH104","FH","MBH"
"12","11922","C.FH.23","100","1",114.83637207,-33.988688965,"FH100","FH","MBH"
"13","11922","C.FH.23","43","1",114.82387207,-33.983688965,"FH43","FH","MBH"
"14","12223","C.FH.24","111","1",114.87887207,-33.986188965,"FH111","FH","MBH"
"15","12223","C.FH.24","77","1",114.87637207,-33.996188965,"FH77","FH","MBH"
"16","12223","C.FH.24","10","1",114.88637207,-33.986188965,"FH10","FH","MBH"
"17","12223","C.FH.24","52","1",114.88887207,-33.991188965,"FH52","FH","MBH"
"18","1365","C.FH.5","5","1",114.94137207,-33.693688965,"FH5","FH","MBH"
"19","1365","C.FH.5","36","1",114.93387207,-33.698688965,"FH36","FH","MBH"
"20","1365","C.FH.5","91","1",114.94387207,-33.703688965,"FH91","FH","MBH"
"21","1365","C.FH.5","64","1",114.93887207,-33.701188965,"FH64","FH","MBH"
"22","1365","C.FH.5","97","1",114.94887207,-33.703688965,"FH97","FH","MBH"
"23","1365","C.FH.5","32","1",114.94637207,-33.696188965,"FH32","FH","MBH"
"24","1782","C.FH.6","33","1",114.82637207,-33.708688965,"FH33","FH","MBH"
"25","1782","C.FH.6","101","1",114.82137207,-33.718688965,"FH101","FH","MBH"
"26","1782","C.FH.6","37","1",114.81387207,-33.711188965,"FH37","FH","MBH"
"27","1782","C.FH.6","6","1",114.82137207,-33.706188965,"FH6","FH","MBH"
"28","1782","C.FH.6","65","1",114.81887207,-33.713688965,"FH65","FH","MBH"
"29","210","C.FH.1","41","1",114.83887207,-33.671188965,"FH41","FH","MBH"
"30","210","C.FH.1","70","1",114.84637207,-33.673688965,"FH70","FH","MBH"
"31","210","C.FH.1","24","1",114.84387207,-33.668688965,"FH24","FH","MBH"
"32","210","C.FH.1","58","1",114.84137207,-33.663688965,"FH58","FH","MBH"
"33","2425","C.FH.7","84","1",114.79887207,-33.733688965,"FH84","FH","MBH"
"34","2425","C.FH.7","113","1",114.79637207,-33.723688965,"FH113","FH","MBH"
"35","2425","C.FH.7","80","1",114.79387207,-33.733688965,"FH80","FH","MBH"
"36","2425","C.FH.7","74","1",114.80637207,-33.731188965,"FH74","FH","MBH"
"37","2425","C.FH.7","8","1",114.80137207,-33.723688965,"FH8","FH","MBH"
"38","2425","C.FH.7","103","1",114.80387207,-33.736188965,"FH103","FH","MBH"
"39","3389","C.FH.8","30","1",114.88887207,-33.751188965,"FH30","FH","MBH"
"40","3389","C.FH.8","95","1",114.89137207,-33.758688965,"FH95","FH","MBH"
"41","3389","C.FH.8","62","1",114.88137207,-33.756188965,"FH62","FH","MBH"
"42","3389","C.FH.8","114","1",114.88137207,-33.748688965,"FH114","FH","MBH"
"43","3872","C.FH.9","38","1",114.92387207,-33.766188965,"FH38","FH","MBH"
"44","3872","C.FH.9","108","1",114.92387207,-33.761188965,"FH108","FH","MBH"
"45","3872","C.FH.9","46","1",114.92887207,-33.766188965,"FH46","FH","MBH"
"46","3872","C.FH.9","54","1",114.93887207,-33.766188965,"FH54","FH","MBH"
"47","3872","C.FH.9","88","1",114.93137207,-33.771188965,"FH88","FH","MBH"
"48","3872","C.FH.9","28","1",114.93387207,-33.763688965,"FH28","FH","MBH"
"49","4032","C.FH.10","1","1",114.86387207,-33.766188965,"FH1","FH","MBH"
"50","4032","C.FH.10","19","1",114.85887207,-33.768688965,"FH19","FH","MBH"
"51","4032","C.FH.10","44","1",114.86387207,-33.771188965,"FH44","FH","MBH"
"52","4032","C.FH.10","14","1",114.87137207,-33.766188965,"FH14","FH","MBH"
"53","4032","C.FH.10","93","1",114.86887207,-33.776188965,"FH93","FH","MBH"
