"","sample","campaignid.x","family","unique.name","genus","full.name","species","maxn","campaignid.y","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","deployment","cluster","notes"
"1","1","2020-06_south-west_stereo-BRUVs","Carangidae","Carangidae Pseudocaranx spp","Pseudocaranx","Pseudocaranx spp","spp",1,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"2","1","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Austrolabrus maculatus","Austrolabrus","Austrolabrus maculatus","maculatus",2,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"3","1","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Coris auricularis","Coris","Coris auricularis","auricularis",5,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"4","1","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Ophthalmolepis lineolatus","Ophthalmolepis","Ophthalmolepis lineolatus","lineolatus",2,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"5","1","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Pseudolabrus biserialis","Pseudolabrus","Pseudolabrus biserialis","biserialis",17,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"6","1","2020-06_south-west_stereo-BRUVs","Pomacentridae","Pomacentridae Chromis klunzingeri","Chromis","Chromis klunzingeri","klunzingeri",36,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"7","1","2020-06_south-west_stereo-BRUVs","Scorpididae","Scorpididae Tilodon sexfasciatus","Tilodon","Tilodon sexfasciatus","sexfasciatus",1,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"8","1","2020-06_south-west_stereo-BRUVs","Serranidae","Serranidae Caesioperca sp1","Caesioperca","Caesioperca sp1","sp1",13,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"9","1","2020-06_south-west_stereo-BRUVs","Serranidae","Serranidae Hypoplectrodes nigroruber","Hypoplectrodes","Hypoplectrodes nigroruber","nigroruber",1,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
"10","1","2020-06_south-west_stereo-BRUVs","Sparidae","Sparidae Chrysophrys auratus","Chrysophrys","Chrysophrys auratus","auratus",1,"2020-06_south-west_stereo-BRUVs",-34.128599,114.930865,20200602,"09:10","South-west","No-take",NA,46.7,"Hayley","Yes",NA,"Jun-20","c1","too close to 13"
