,X.1,sample,scientific,maxn,family,genus,species,campaignid,dataset,planned.or.exploratory,latitude,longitude,date,time,location,status,site,depth,observer,successful.count,successful.length,id,unique.name,full.name,X,cluster,cluster.new,number,n,coords.x1,coords.x2,class,depth.1,slope,aspect,roughness,tpi,flowdir,detrended.bathy,detr.slope,detr.flowdir,detr.tri,detr.tpi,detr.aspect,SSTmean_SSTARRS,SSTsterr_SSTARRS,SSTtrend_SSTARRS,optional
1,1,10,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.117294,114.918685,20200602,11:51:00,South-west,No-take,NA,45.7,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.10,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-44,0.000706261,2.265622139,1,-0.25,32,15.75673008,0.003501421,1,0.590085924,-0.25,1.633253813,19.76408768,0.018714249,0.23706001,TRUE
2,2,11,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.117752,114.92306,20200602,13:55:00,South-west,No-take,NA,45.08,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.11,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-44,0.000706273,2.265607595,1,0.25,4,14.46097183,0.003501524,1,0.760128856,0.25,1.633252025,19.76408768,0.018714249,0.23706001,TRUE
3,3,12,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.132262,114.928545,20200602,12:03:00,South-west,No-take,NA,40.1,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.12,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-36,0.013744654,2.1642735,8,1.25,1,21.42355537,0.016166771,1,3.30779314,1.25,2.049916267,19.76408768,0.018714249,0.23706001,TRUE
4,4,13,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,Captains pick,-34.128506,114.930547,20200602,12:09:00,South-west,No-take,NA,45.2,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.13,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-40,0.023006301,1.312464952,14,1.25,1,16.67879677,0.02592417,1,4.372378349,1.25,1.332844019,19.76408768,0.018714249,0.23706001,TRUE
5,5,14,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,Captains pick,-34.128381,114.925457,20200602,12:16:00,South-west,No-take,NA,35,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.14,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-33,0.008574096,5.824266434,8,4.25,16,25.0391407,0.00796563,16,4.25,4.25,6.176815987,19.76408768,0.018714249,0.23706001,TRUE
6,6,15,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,Captains pick,-34.125012,114.91032,20200602,14:09:00,South-west,No-take,NA,43,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.15,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-40,0.004866651,3.874378204,4,1.25,16,22.05558586,0.003397377,16,1.313810706,1.25,3.230928183,19.81408691,0.018714249,0.187060013,TRUE
7,7,16,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,Captains pick,-34.126181,114.906548,20200602,14:14:00,South-west,No-take,NA,40.9,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.16,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-43,0.002170354,4.712388992,1,-0.375,4,20.41592979,0.000816227,64,0.391146332,-0.375,1.280497074,19.81408691,0.018714249,0.187060013,TRUE
8,8,17,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,Captains pick,-34.132142,114.92083,20200602,14:20:00,South-west,No-take,NA,40.2,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.17,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-37,0.007183209,4.522400379,4,0.875,16,22.46406937,0.004252388,16,1.188810706,0.875,4.445153236,19.76408768,0.018714249,0.23706001,TRUE
9,9,18,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,Captains pick,-34.128679,114.924078,20200602,14:25:00,South-west,No-take,NA,35.8,Hayley,Yes,18 left converted wrong. Check BU to convert again,2020-06_south-west_stereo-BRUVs.18,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-36,0.00973196,5.622971535,9,1.5,32,22.71931267,0.008475398,32,2.34610343,1.5,5.91934967,19.76408768,0.018714249,0.23706001,TRUE
10,10,20,Aplodactylidae Aplodactylus westralis,0,Aplodactylidae,Aplodactylus,westralis,2020-06_south-west_stereo-BRUVs,NA,MBH,-34.130219,114.820233,20200603,8:16:00,South-west,No-take,NA,51.7,Hayley,Yes,NA,2020-06_south-west_stereo-BRUVs.20,Aplodactylidae Aplodactylus westralis,Aplodactylus westralis,NA,NA,NA,NA,NA,NA,NA,NA,-50,0.002825332,4.017650604,2,-0.25,8,36.67094421,0.001758595,2,0.467707366,-0.25,2.680707216,20.05408669,0.018714249,0.177060023,TRUE
