"","scientific","fishing.type","australian.common.name"
"1","Arripidae Arripis truttaceus","B/C/R","Western Australian salmon"
"2","Aulopidae Latropiscis purpurissatus","C/R","Sergeant baker"
"3","Belonidae Strongylura leiura","B/R","Slender longtom"
"4","Berycidae Centroberyx australis","C/R","Yelloweye redfish"
"5","Berycidae Centroberyx gerrardi","C/R","Bight redfish"
"6","Berycidae Centroberyx lineatus","C/R","Swallowtail"
"7","Carangidae Seriola hippos","C/R","Samsonfish"
"8","Carangidae Seriola lalandi","C/R","Yellowtail kingfish"
"9","Carangidae Trachurus novaezelandiae","B/C/R","Yellowtail scad"
"10","Cheilodactylidae Dactylophora nigricans","B/C/R","Dusky morwong"
"11","Cheilodactylidae Nemadactylus valenciennesi","C/R","Blue morwong"
"12","Dinolestidae Dinolestes lewini","C/R","Longfin Pike"
"13","Glaucosomatidae Glaucosoma hebraicum","C/R","West Australian dhufish"
"14","Labridae Achoerodus gouldii","R","Western blue groper"
"15","Labridae Bodianus frenchii","C/R","Foxfish"
"16","Labridae Choerodon rubescens","C/R","Baldchin groper"
"17","Labridae Ophthalmolepis lineolatus","B/R","Southern Maori wrasse"
"18","Monacanthidae Acanthaluteres brownii","B/C/R","Spinytail leatherjacket"
"19","Monacanthidae Acanthaluteres vittiger","B/C/R","Toothbrush leatherjacket"
"20","Monacanthidae Eubalichthys mosaicus","B/C/R","Mosaic leatherjacket"
"21","Monacanthidae Meuschenia flavolineata","B/C/R","Yellowstriped leatherjacket"
"22","Monacanthidae Meuschenia freycineti","B/C/R","Sixspine leatherjacket"
"23","Monacanthidae Meuschenia galii","B/C/R","Bluelined leatherjacket"
"24","Monacanthidae Meuschenia hippocrepis","B/C/R","Horseshoe leatherjacket"
"25","Monacanthidae Meuschenia venusta","B/C/R","Stars-and-stripes leatherjacket"
"26","Moridae Pseudophycis barbata","C/R","Bearded rock cod"
"27","Mullidae Upeneichthys vlamingii","C/R","Bluespotted goatfish"
"28","Pentacerotidae Parazanclistius hutchinsi","C/R","Short boarfish"
"29","Pristiophoridae Pristiophorus cirratus","C/R","Common sawshark"
"30","Scombridae Sarda orientalis","R","Oriental bonito"
"31","Scombridae Thunnus maccoyii","C/R","Southern bluefin tuna"
"32","Scombridae Thunnus obesus","C/R","Bigeye tuna"
"33","Scorpididae Scorpis aequipinnis","C/R","Sea sweep"
"34","Scorpididae Scorpis georgiana","C/R","Banded sweep"
"35","Serranidae Epinephelides armatus","C/R","Breaksea cod"
"36","Serranidae Hypoplectrodes nigroruber","R","Banded seaperch"
"37","Serranidae Hyporthodus octofasciatus","C/R","Eightbar grouper"
"38","Serranidae Othos dentex","C/R","Harlequin fish"
"39","Sparidae Chrysophrys auratus","C/R","Pink snapper"
"40","Triakidae Galeorhinus galeus","C/R","School shark"
