,modname,delta.AICc,wi.AICc,AICc,r2.vals,,formula,BIC,r2.vals.unique,edf,edf.less.1,delta.BIC,wi.BIC,mean.relief,sd.relief,log.sponges,broad.macroalgae,broad.reef,distance.to.ramp,aspect,log.tpi,log.roughness,log.slope,depth,status
,,,,,,,,,,,,,,,,,,,,,,,,,
total.abundance,log.tpi.by.status+mean.relief.by.status+status,0,0.805,2983.571332,0.13336,,"s(log.tpi, by = status, k = 5, bs = ""cr"") + s(mean.relief, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",3021.061873,NA,19,3,3.172,0.17,1,0,0,0,0,0,0,1,0,0,0,1
species.richness.mean.relief+sd.relief,mean.relief+sd.relief,1.951,0.082,1054.691706,0.24548,,"s(mean.relief, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + planned.or.exploratory",1076.964562,NA,10,4,4.582,0.065,1,1,0,0,0,0,0,0,0,0,0,0
species.richness.mean.relief+sd.relief+status,mean.relief+sd.relief+status,0.598,0.16,1053.338617,0.25828,,"s(mean.relief, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + status + planned.or.exploratory",1078.703104,NA,11,2,6.321,0.027,1,1,0,0,0,0,0,0,0,0,0,1
species.richness.distance.to.ramp+mean.relief+sd.relief,distance.to.ramp+mean.relief+sd.relief,0,0.216,1052.740276,0.26084,,"s(distance.to.ramp, k = 5, bs = ""cr"") + s(mean.relief, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + planned.or.exploratory",1081.172738,NA,14,2,8.79,0.008,1,1,0,0,0,1,0,0,0,0,0,0
Sparidae Chrysophrys auratus.broad.macroalgae.by.status+log.slope+status,broad.macroalgae.by.status+log.slope+status,0,0.431,459.5946404,0.07894,,"s(log.slope, k = 5, bs = ""cr"") + s(broad.macroalgae, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",491.0710362,NA,15,1,0,0.611,0,0,0,1,0,0,0,0,0,1,0,1
Sparidae Chrysophrys auratus.broad.macroalgae.by.status+depth.by.status+status,broad.macroalgae.by.status+depth.by.status+status,0.11,0.408,459.7042814,0.10623,,"s(broad.macroalgae, by = status, k = 5, bs = ""cr"") + s(depth, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",497.1948224,NA,19.87,4,6.124,0.029,0,0,0,1,0,0,0,0,0,0,1,1
Labridae Coris auricularis,depth.by.status+sd.relief.by.status+status,0,0.96,2436.817809,0.00257,,"s(depth, by = status, k = 5, bs = ""cr"") + s(sd.relief, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",2474.30835,NA,21.01,2,0,0.96,0,1,0,0,0,0,0,0,0,0,1,1
Heterodontidae Heterodontus portusjacksoni,distance.to.ramp+log.slope+mean.relief,0,0.282,431.6437143,0.09916,,"s(distance.to.ramp, k = 5, bs = ""cr"") + s(log.slope, k = 5, bs = ""cr"") + s(mean.relief, k = 5, bs = ""cr"") + planned.or.exploratory",460.0761769,NA,14,2,4.28,0.033,1,0,0,0,0,1,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Labridae Ophthalmolepis lineolatus.depth+log.sponges+mean.relief,depth+log.sponges+mean.relief,0,0.524,915.3752823,0.22302,,"s(depth, k = 5, bs = ""cr"") + s(log.sponges, k = 5, bs = ""cr"") + s(mean.relief, k = 5, bs = ""cr"") + planned.or.exploratory",943.8077449,NA,14,0,0,0.32,1,0,1,0,0,0,0,0,0,0,1,0
Labridae Ophthalmolepis lineolatus.depth.by.status+mean.relief+status,depth.by.status+mean.relief+status,1.814,0.211,917.1895498,0.21084,,"s(mean.relief, k = 5, bs = ""cr"") + s(depth, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",948.6659456,NA,17.06,2,4.858,0.028,1,0,0,0,0,0,0,0,0,0,1,1
Scorpididae Neatypus obliquus,log.slope.by.status+mean.relief.by.status+status,0,0.977,1635.566389,0.01584,,"s(log.slope, by = status, k = 5, bs = ""cr"") + s(mean.relief, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",1673.05693,NA,19,0,1.527,0.318,1,0,0,0,0,0,0,0,0,1,0,1
targeted.abundance,depth+log.roughness+mean.relief,0,0.999,1106.487488,0.02162,,"s(depth, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + s(mean.relief, k = 5, bs = ""cr"") + planned.or.exploratory",1134.91995,NA,14,0,0,0.999,1,0,0,0,0,0,0,0,1,0,1,0
