,modname,delta.AICc,wi.AICc,r2.vals,edf,AICc,BIC,r2.vals.unique,edf.less.1,delta.BIC,,wi.BIC,mean.relief,sd.relief,log.sponges,broad.macroalgae,broad.reef,distance.to.ramp,aspect,log.tpi,log.roughness,log.slope,depth,status
all greater than 20 cm,broad.reef.by.status+sd.relief.by.status+status,0,0.421,0,19.03,1188.427955,1224.559652,NA,6,11.536,,0.002,0,1,0,0,1,0,0,0,0,0,0,1
all greater than 30 cm.log.roughness+log.tpi+mean.relief,log.roughness+log.tpi+mean.relief,0,0.27,0.16756,14.19,872.8287603,900.2787789,NA,4,3.756,,0.057,1,0,0,0,0,0,0,1,1,0,0,0
all greater than 30 cm.log.roughness.by.status+mean.relief+status,log.roughness.by.status+mean.relief+status,1.72,0.114,0.16467,15.1,874.5489647,904.9204714,NA,5,8.398,,0.006,1,0,0,0,0,0,0,0,1,0,0,1
greater than legal size.aspect+broad.macroalgae+depth,aspect+broad.macroalgae+depth,0,0.049,0.00208,14,634.7402398,662.1902584,NA,0,9.363,,0.003,0,0,0,1,0,0,1,0,0,0,1,0
greater than legal size.aspect+log.sponges+mean.relief,aspect+log.sponges+mean.relief,0.159,0.045,0.02146,14.04,634.8996438,662.3496625,NA,5,9.522,,0.003,1,0,1,0,0,0,1,0,0,0,0,0
greater than legal size.broad.macroalgae+log.slope,broad.macroalgae+log.slope,0.204,0.044,0.00933,10,634.9446141,656.4713354,NA,1,3.644,,0.052,0,0,0,1,0,0,0,0,0,1,0,0
greater than legal size.aspect+broad.macroalgae+log.sponges,aspect+broad.macroalgae+log.sponges,0.323,0.042,0.00466,14,635.0633421,662.5133607,NA,3,9.686,,0.003,0,0,1,1,0,0,1,0,0,0,0,0
greater than legal size.aspect+broad.macroalgae+log.roughness,aspect+broad.macroalgae+log.roughness,0.574,0.037,0.01762,14,635.3146642,662.7646828,NA,1,9.937,,0.002,0,0,0,1,0,0,1,0,1,0,0,0
greater than legal size.broad.macroalgae+log.slope+log.sponges,broad.macroalgae+log.slope+log.sponges,0.6,0.036,0.01639,14,635.3400791,662.7900977,NA,1,9.963,,0.002,0,0,1,1,0,0,0,0,0,1,0,0
greater than legal size.aspect+mean.relief,aspect+mean.relief,0.606,0.036,0.01149,10,635.3458493,656.8725706,NA,3,4.045,,0.042,1,0,0,0,0,0,1,0,0,0,0,0
greater than legal size.broad.macroalgae+depth+log.slope,broad.macroalgae+depth+log.slope,1.081,0.028,0.0117,14,635.8208938,663.2709124,NA,2,10.443,,0.002,0,0,0,1,0,0,0,0,0,1,1,0
greater than legal size.aspect+log.roughness+log.sponges,aspect+log.roughness+log.sponges,1.121,0.028,0.01863,14,635.8609026,663.3109212,NA,2,10.483,,0.002,0,0,1,0,0,0,1,0,1,0,0,0
greater than legal size.broad.macroalgae+depth,broad.macroalgae+depth,1.125,0.028,0.01122,10,635.8648312,657.3915525,NA,0,4.564,,0.033,0,0,0,1,0,0,0,0,0,0,1,0
greater than legal size.aspect+depth+log.sponges,aspect+depth+log.sponges,1.144,0.028,0.01492,14,635.8845908,663.3346094,NA,2,10.507,,0.002,0,0,1,0,0,0,1,0,0,0,1,0
greater than legal size.aspect+broad.macroalgae,aspect+broad.macroalgae,1.156,0.027,0.00464,10,635.8960543,657.4227756,NA,0,4.595,,0.032,0,0,0,1,0,0,1,0,0,0,0,0
greater than legal size.aspect+log.roughness+mean.relief,aspect+log.roughness+mean.relief,1.298,0.026,0.02422,14,636.0385099,663.4885285,NA,4,10.661,,0.002,1,0,0,0,0,0,1,0,1,0,0,0
greater than legal size.broad.macroalgae+log.roughness,broad.macroalgae+log.roughness,1.421,0.024,0.03256,10,636.1611121,657.6878334,NA,1,4.86,,0.028,0,0,0,1,0,0,0,0,1,0,0,0
greater than legal size.broad.macroalgae+depth+log.roughness,broad.macroalgae+depth+log.roughness,1.722,0.021,0.041,14,636.4622841,663.9123027,NA,3,11.085,,0.001,0,0,0,1,0,0,0,0,1,0,1,0
greater than legal size.aspect.by.status+mean.relief+status,aspect.by.status+mean.relief+status,1.919,0.019,0.02644,15,636.6590496,667.0305562,NA,5,14.203,,0,1,0,0,0,0,0,1,0,0,0,0,1
