,modname,delta.AICc,wi.AICc,r2.vals,edf,AICc,BIC,r2.vals.unique,formula,edf.less.1,delta.BIC,wi.BIC,mean.relief,sd.relief,log.sponges,broad.macroalgae,broad.reef,distance.to.ramp,aspect,log.tpi,log.roughness,log.slope,depth,status
all greater than 20 cm.broad.reef+log.roughness.by.status+status,broad.reef+log.roughness.by.status+status,0,0.144,0.00037,15,1325.972593,1357.847748,NA,"s(broad.reef, k = 5, bs = ""cr"") + s(log.roughness, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",1,11.248,0.002,0,0,0,0,1,0,0,0,1,0,0,1
all greater than 20 cm.broad.reef+log.roughness,broad.reef+log.roughness,0.972,0.089,0.0239,10,1326.944849,1349.487673,NA,"s(broad.reef, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + planned.or.exploratory",3,2.888,0.105,0,0,0,0,1,0,0,0,1,0,0,0
all greater than 20 cm.broad.reef.by.status+log.roughness+status,broad.reef.by.status+log.roughness+status,1.11,0.083,0.02532,15,1327.082984,1358.958139,NA,"s(log.roughness, k = 5, bs = ""cr"") + s(broad.reef, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",3,12.358,0.001,0,0,0,0,1,0,0,0,1,0,0,1
all greater than 20 cm.broad.reef+log.slope,broad.reef+log.slope,1.373,0.073,0.01641,10,1327.34577,1349.888594,NA,"s(broad.reef, k = 5, bs = ""cr"") + s(log.slope, k = 5, bs = ""cr"") + planned.or.exploratory",2,3.289,0.086,0,0,0,0,1,0,0,0,0,1,0,0
all greater than 20 cm.broad.reef+log.roughness+sd.relief,broad.reef+log.roughness+sd.relief,1.774,0.059,0.01609,14,1327.746722,1356.534058,NA,"s(broad.reef, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + s(sd.relief, k = 5, bs = ""cr"") + planned.or.exploratory",4,9.934,0.003,0,1,0,0,1,0,0,0,1,0,0,0
all greater than 30 cm.depth+log.slope,depth+log.slope,0,0.17,0.16556,10.04,1117.834786,1140.377609,NA,"s(depth, k = 5, bs = ""cr"") + s(log.slope, k = 5, bs = ""cr"") + planned.or.exploratory",1,2.075,0.192,0,0,0,0,0,0,0,0,0,1,1,0
all greater than 30 cm.depth+log.slope+log.sponges,depth+log.slope+log.sponges,0.797,0.114,0.16091,14,1118.631642,1147.418978,NA,"s(depth, k = 5, bs = ""cr"") + s(log.slope, k = 5, bs = ""cr"") + s(log.sponges, k = 5, bs = ""cr"") + planned.or.exploratory",3,9.117,0.006,0,0,1,0,0,0,0,0,0,1,1,0
all greater than 30 cm.depth+log.roughness,depth+log.roughness,0.96,0.105,0.16382,10.03,1118.794607,1141.337431,NA,"s(depth, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + planned.or.exploratory",2,3.035,0.119,0,0,0,0,0,0,0,0,1,0,1,0
all greater than 30 cm.depth.by.status+log.slope.by.status+status,depth.by.status+log.slope.by.status+status,1.434,0.083,0.20543,19,1119.268522,1157.248607,NA,"s(depth, by = status, k = 5, bs = ""cr"") + s(log.slope, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",8,18.946,0,0,0,0,0,0,0,0,0,0,1,1,1
all greater than 30 cm.depth+log.slope.by.status+status,depth+log.slope.by.status+status,1.89,0.066,0.17696,15.04,1119.724943,1151.600098,NA,"s(depth, k = 5, bs = ""cr"") + s(log.slope, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",4,13.298,0.001,0,0,0,0,0,0,0,0,0,1,1,1
greater than legal size.log.slope.by.status+log.sponges+status,log.slope.by.status+log.sponges+status,0,0.382,0.02098,15,765.6717636,797.546918,NA,"s(log.sponges, k = 5, bs = ""cr"") + s(log.slope, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",5,4.113,0.037,0,0,1,0,0,0,0,0,0,1,0,1
greater than legal size.log.slope.by.status+log.sponges.by.status+status,log.slope.by.status+log.sponges.by.status+status,1.871,0.15,0.02927,19,767.5432023,805.5232867,NA,"s(log.slope, by = status, k = 5, bs = ""cr"") + s(log.sponges, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",4,12.09,0.001,0,0,1,0,0,0,0,0,0,1,0,1
smaller than legal size.log.roughness+log.tpi+mean.relief,log.roughness+log.tpi+mean.relief,0,0.508,0.00348,14.11,617.7336919,646.5210277,NA,"s(log.roughness, k = 5, bs = ""cr"") + s(log.tpi, k = 5, bs = ""cr"") + s(mean.relief, k = 5, bs = ""cr"") + planned.or.exploratory",0,0,0.656,1,0,0,0,0,0,0,1,1,0,0,0
