"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status","planned.or.exploratory","cumsum.wi"
"mean.relief.by.planned.or.exploratory+planned.or.exploratory+sd.relief.by.planned.or.exploratory","mean.relief.by.planned.or.exploratory+planned.or.exploratory+sd.relief.by.planned.or.exploratory",1500.32713759304,1536.10366329161,0.00198,NA,18.01,0,0,0,1,0.999,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"depth+log.roughness","depth+log.roughness",137.767804072533,157.821945812405,0.20267,NA,9.65,4,0,4.346,0.139,0.053,0,0,0,0,0,0,0,0,1,0,1,0,0,0.139
"depth+log.tpi","depth+log.tpi",139.522921473911,159.577063213783,0.23567,NA,9.37,4,1.755,6.101,0.058,0.022,0,0,0,0,0,0,0,1,0,0,1,0,0,0.197
"depth+log.roughness+planned.or.exploratory","depth+log.roughness+planned.or.exploratory",139.579649034972,162.908921202634,0.20679,NA,10.67,4,1.812,9.433,0.056,0.004,0,0,0,0,0,0,0,0,1,0,1,0,1,0.253
"depth+log.roughness+status","depth+log.roughness+status",139.851388671868,163.180660839531,0.20106,NA,10.66,4,2.084,9.704,0.049,0.004,0,0,0,0,0,0,0,0,1,0,1,1,0,0.302
"depth","depth",140.031142151988,153.476342999296,0.10553,NA,5,1,2.263,0,0.045,0.461,0,0,0,0,0,0,0,0,0,0,1,0,0,0.347
"depth+log.slope","depth+log.slope",140.399390747195,160.453532487067,0.1523,NA,9.72,4,2.632,6.977,0.037,0.014,0,0,0,0,0,0,0,0,0,1,1,0,0,0.384
"depth+log.tpi+planned.or.exploratory","depth+log.tpi+planned.or.exploratory",140.746516303942,164.075788471605,0.2392,NA,10.34,4,2.979,10.599,0.031,0.002,0,0,0,0,0,0,0,1,0,0,1,0,1,0.415
"depth+log.roughness1","depth+log.roughness",326.317081408177,346.371223148049,0.15213,NA,9.24,4,0,0,0.204,0.423,0,0,0,0,0,0,0,0,1,0,1,0,0,0.204
"depth+log.slope1","depth+log.slope",326.926450421402,346.980592161274,0.28039,NA,9.14,5,0.609,0.609,0.15,0.312,0,0,0,0,0,0,0,0,0,1,1,0,0,0.354
"depth+log.slope+sd.relief","depth+log.slope+sd.relief",328.114388932288,354.698865907707,0.25879,NA,13.29,6,1.797,8.328,0.083,0.007,0,1,0,0,0,0,0,0,0,1,1,0,0,0.437
"depth+log.roughness+planned.or.exploratory1","depth+log.roughness+planned.or.exploratory",328.240147331808,351.569419499471,0.15601,NA,10.23,4,1.923,5.198,0.078,0.031,0,0,0,0,0,0,0,0,1,0,1,0,1,0.515
"depth+log.roughness+status1","depth+log.roughness+status",328.435662093579,351.764934261242,0.15148,NA,10.23,4,2.119,5.394,0.071,0.028,0,0,0,0,0,0,0,0,1,0,1,1,0,0.586
"depth+log.roughness+sd.relief","depth+log.roughness+sd.relief",328.666792971278,355.251269946698,0.17295,NA,13.43,5,2.35,8.88,0.063,0.005,0,1,0,0,0,0,0,0,1,0,1,0,0,0.649
"depth+log.slope+planned.or.exploratory","depth+log.slope+planned.or.exploratory",329.035657725123,352.364929892785,0.2838,NA,10.14,5,2.719,5.994,0.052,0.021,0,0,0,0,0,0,0,0,0,1,1,0,1,0.701
"depth+log.slope+status","depth+log.slope+status",329.055653204614,352.384925372276,0.28029,NA,10.14,5,2.739,6.014,0.052,0.021,0,0,0,0,0,0,0,0,0,1,1,1,0,0.753
"broad.reef.by.planned.or.exploratory+planned.or.exploratory+sd.relief.by.planned.or.exploratory","broad.reef.by.planned.or.exploratory+planned.or.exploratory+sd.relief.by.planned.or.exploratory",1749.66346113115,1785.89116578309,2e-05,NA,18.02,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
