"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status","planned.or.exploratory","cumsum.wi"
"mean.relief.by.planned.or.exploratory+planned.or.exploratory+sd.relief.by.planned.or.exploratory","mean.relief.by.planned.or.exploratory+planned.or.exploratory+sd.relief.by.planned.or.exploratory",1500.32713759304,1536.10366329161,0.00198,NA,18.01,0,0,0,1,0.999,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"depth+log.roughness","depth+log.roughness",137.767804072533,157.821945812405,0.20267,NA,9.65,4,0,4.346,0.139,0.053,0,0,0,0,0,0,0,0,1,0,1,0,0,0.139
"depth+log.tpi","depth+log.tpi",139.522921473911,159.577063213783,0.23567,NA,9.37,4,1.755,6.101,0.058,0.022,0,0,0,0,0,0,0,1,0,0,1,0,0,0.197
"depth+log.roughness+planned.or.exploratory","depth+log.roughness+planned.or.exploratory",139.579649034972,162.908921202634,0.20679,NA,10.67,4,1.812,9.433,0.056,0.004,0,0,0,0,0,0,0,0,1,0,1,0,1,0.253
"depth+log.roughness+status","depth+log.roughness+status",139.851388671868,163.180660839531,0.20106,NA,10.66,4,2.084,9.704,0.049,0.004,0,0,0,0,0,0,0,0,1,0,1,1,0,0.302
"depth","depth",140.031142151988,153.476342999296,0.10553,NA,5,1,2.263,0,0.045,0.461,0,0,0,0,0,0,0,0,0,0,1,0,0,0.347
"depth+log.slope","depth+log.slope",140.399390747195,160.453532487067,0.1523,NA,9.72,4,2.632,6.977,0.037,0.014,0,0,0,0,0,0,0,0,0,1,1,0,0,0.384
"depth+log.tpi+planned.or.exploratory","depth+log.tpi+planned.or.exploratory",140.746516303942,164.075788471605,0.2392,NA,10.34,4,2.979,10.599,0.031,0.002,0,0,0,0,0,0,0,1,0,0,1,0,1,0.415
"depth+log.roughness1","depth+log.roughness",326.317081408177,346.371223148049,0.15213,NA,9.24,4,0,0,0.204,0.423,0,0,0,0,0,0,0,0,1,0,1,0,0,0.204
"depth+log.slope1","depth+log.slope",326.926450421402,346.980592161274,0.28039,NA,9.14,5,0.609,0.609,0.15,0.312,0,0,0,0,0,0,0,0,0,1,1,0,0,0.354
"depth+log.slope+sd.relief","depth+log.slope+sd.relief",328.114388932288,354.698865907707,0.25879,NA,13.29,6,1.797,8.328,0.083,0.007,0,1,0,0,0,0,0,0,0,1,1,0,0,0.437
"depth+log.roughness+planned.or.exploratory1","depth+log.roughness+planned.or.exploratory",328.240147331808,351.569419499471,0.15601,NA,10.23,4,1.923,5.198,0.078,0.031,0,0,0,0,0,0,0,0,1,0,1,0,1,0.515
"depth+log.roughness+status1","depth+log.roughness+status",328.435662093579,351.764934261242,0.15148,NA,10.23,4,2.119,5.394,0.071,0.028,0,0,0,0,0,0,0,0,1,0,1,1,0,0.586
"depth+log.roughness+sd.relief","depth+log.roughness+sd.relief",328.666792971278,355.251269946698,0.17295,NA,13.43,5,2.35,8.88,0.063,0.005,0,1,0,0,0,0,0,0,1,0,1,0,0,0.649
"depth+log.slope+planned.or.exploratory","depth+log.slope+planned.or.exploratory",329.035657725123,352.364929892785,0.2838,NA,10.14,5,2.719,5.994,0.052,0.021,0,0,0,0,0,0,0,0,0,1,1,0,1,0.701
"depth+log.slope+status","depth+log.slope+status",329.055653204614,352.384925372276,0.28029,NA,10.14,5,2.739,6.014,0.052,0.021,0,0,0,0,0,0,0,0,0,1,1,1,0,0.753
"broad.reef.by.planned.or.exploratory+planned.or.exploratory+sd.relief.by.planned.or.exploratory","broad.reef.by.planned.or.exploratory+planned.or.exploratory+sd.relief.by.planned.or.exploratory",1749.66346113115,1785.89116578309,2e-05,NA,18.02,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
"depth+planned.or.exploratory","depth+planned.or.exploratory",629.633674459633,646.393035621081,0.4975,NA,7.65,2,0,3.226,0.102,0.141,0,0,0,0,0,0,0,0,0,0,1,0,1,0.102
"depth1","depth",629.722195784149,643.167396631458,0.49689,NA,6.61,2,0.089,0,0.098,0.706,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2
"depth+status","depth+status",630.593171637657,647.352532799105,0.50688,NA,7.6,2,0.959,4.185,0.063,0.087,0,0,0,0,0,0,0,0,0,0,1,1,0,0.263
"depth+distance.to.ramp.by.planned.or.exploratory+planned.or.exploratory","depth+distance.to.ramp.by.planned.or.exploratory+planned.or.exploratory",630.709299676072,660.528775196678,0.52835,NA,15.68,6,1.076,17.361,0.06,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.323
"depth+planned.or.exploratory+status","depth+planned.or.exploratory+status",630.889492023719,650.94363376359,0.50419,NA,8.64,2,1.256,7.776,0.055,0.014,0,0,0,0,0,0,0,0,0,0,1,1,1,0.378
"depth+log.tpi1","depth+log.tpi",631.221356209316,651.275497949188,0.51766,NA,10.71,4,1.588,8.108,0.046,0.012,0,0,0,0,0,0,0,1,0,0,1,0,0,0.424
"depth+distance.to.ramp+planned.or.exploratory","depth+distance.to.ramp+planned.or.exploratory",631.231417879895,654.560690047557,0.51376,NA,11.65,5,1.598,11.393,0.046,0.002,0,0,0,0,0,1,0,0,0,0,1,0,1,0.47
"depth+distance.to.ramp","depth+distance.to.ramp",631.351728548393,651.405870288264,0.5182,NA,10.61,5,1.718,8.238,0.043,0.011,0,0,0,0,0,1,0,0,0,0,1,0,0,0.513
"depth+log.tpi+status","depth+log.tpi+status",631.91342875277,655.242700920433,0.52383,NA,11.71,4,2.28,12.075,0.033,0.002,0,0,0,0,0,0,0,1,0,0,1,1,0,0.546
"depth+planned.or.exploratory+sd.relief","depth+planned.or.exploratory+sd.relief",631.922425105825,655.251697273488,0.49821,NA,11.8,5,2.289,12.084,0.033,0.002,0,1,0,0,0,0,0,0,0,0,1,0,1,0.579
"depth+log.tpi+planned.or.exploratory1","depth+log.tpi+planned.or.exploratory",632.183508850808,655.512781018471,0.51191,NA,11.73,4,2.55,12.345,0.029,0.001,0,0,0,0,0,0,0,1,0,0,1,0,1,0.608
"depth+sd.relief","depth+sd.relief",632.440935638928,652.4950773788,0.49528,NA,10.74,5,2.807,9.328,0.025,0.007,0,1,0,0,0,0,0,0,0,0,1,0,0,0.633
"depth+planned.or.exploratory+sd.relief.by.planned.or.exploratory","depth+planned.or.exploratory+sd.relief.by.planned.or.exploratory",632.442504253788,662.261979774394,0.44136,NA,15.78,5,2.809,19.095,0.025,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.658
