"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","distance.to.ramp","aspect","depth","broad.reef","status","planned.or.exploratory","cumsum.wi"
"broad.reef+mean.relief.te.sd.relief","broad.reef+mean.relief.te.sd.relief",2824.86627955124,2858.96714114237,0.01108,NA,29.02,1,0,0,1,1,1,1,0,0,0,1,0,0,1
"aspect+mean.relief.te.sd.relief","aspect+mean.relief.te.sd.relief",2848.00065628522,2882.10151787635,0.0106,NA,29,0,23.134,23.134,0,0,1,1,0,1,0,0,0,0,1
"mean.relief.te.sd.relief","mean.relief.te.sd.relief",2852.23426452736,2880.35100623778,0.01078,NA,25,0,27.368,21.384,0,0,1,1,0,0,0,0,0,0,1
"mean.relief.te.sd.relief+status","mean.relief.te.sd.relief+status",2853.02118117146,2884.14266294665,0.01101,NA,26,0,28.155,25.176,0,0,1,1,0,0,0,0,1,0,1
"mean.relief.te.sd.relief+planned.or.exploratory","mean.relief.te.sd.relief+planned.or.exploratory",2853.03433553,2884.15581730519,0.01081,NA,26,0,28.168,25.189,0,0,1,1,0,0,0,0,0,1,1
"distance.to.ramp+mean.relief.te.sd.relief","distance.to.ramp+mean.relief.te.sd.relief",2853.06620787719,2887.16706946832,0.01083,NA,29,0,28.2,28.2,0,0,1,1,1,0,0,0,0,0,1
"depth+sd.relief.te.distance.to.ramp","depth+sd.relief.te.distance.to.ramp",2854.16294434038,2891.21739075148,0.10678,NA,33,0,29.297,32.25,0,0,0,1,1,0,1,0,0,0,1
"mean.relief.te.broad.reef+sd.relief","mean.relief.te.broad.reef+sd.relief",2861.72721736445,2895.82807895558,0.72133,NA,29.35,11,36.861,36.861,0,0,1,1,0,0,0,1,0,0,1
"aspect+mean.relief.te.broad.reef","aspect+mean.relief.te.broad.reef",2881.44985637545,2915.55071796658,0.71777,NA,29.19,10,56.584,56.584,0,0,1,0,0,1,0,1,0,0,1
"depth+mean.relief.te.sd.relief","depth+mean.relief.te.sd.relief",2881.91590726949,2916.01676886062,0.00951,NA,29,3,57.05,57.05,0,0,1,1,0,0,1,0,0,0,1
"broad.reef+mean.relief.te.sd.relief1","broad.reef+mean.relief.te.sd.relief",2824.86627955124,2858.96714114237,0.01108,NA,29.02,1,0,0,1,1,1,1,0,0,0,1,0,0,1
"mean.relief.by.status+sd.relief.by.status+status","mean.relief.by.status+sd.relief.by.status+status",3009.05035860182,3043.15122019295,0.21667,NA,18.1,0,0,0,0.818,0.818,1,1,0,0,0,0,1,0,0.818
"mean.relief.by.status+sd.relief.by.status+status1","mean.relief.by.status+sd.relief.by.status+status",3009.05035860182,3043.15122019295,0.21667,NA,18.1,0,0,0,0.818,0.818,1,1,0,0,0,0,1,0,0.818
