"","new.names","archetype","prob","sp.names"
"1","spp2","Archetype1",0.997379572880311,"Acanthaluteres vittiger"
"2","spp3","Archetype1",0.995104354474283,"Achoerodus gouldii"
"3","spp6","Archetype1",0.999911414318304,"Austrolabrus maculatus"
"4","spp8","Archetype1",0.990699873823136,"Bodianus frenchii"
"5","spp9","Archetype1",0.973072767862973,"Caesioperca rasor"
"6","spp15","Archetype1",0.993372809617172,"Chelmonops curiosus"
"7","spp16","Archetype1",0.997866945284564,"Choerodon rubescens"
"8","spp17","Archetype1",0.999914946094351,"Chromis klunzingeri"
"9","spp18","Archetype1",0.997598049761196,"Chromis westaustralis"
"10","spp24","Archetype1",0.998755171047394,"Eupetrichthys angustipes"
"11","spp28","Archetype1",0.98713928523219,"Glaucosoma hebraicum"
"12","spp29","Archetype1",0.999611979264458,"Heterodontus portusjacksoni"
"13","spp30","Archetype1",0.997499324597243,"Hypoplectrodes nigroruber"
"14","spp33","Archetype1",0.997873354422205,"Meuschenia flavolineata"
"15","spp35","Archetype1",0.99888186838966,"Meuschenia galii"
"16","spp38","Archetype1",0.973577154208605,"Meuschenia venusta"
"17","spp40","Archetype1",0.997679379901577,"Myliobatis tenuicaudatus"
"18","spp47","Archetype1",0.99824979170825,"Notolabrus parilus"
"19","spp48","Archetype1",0.99999984305988,"Ophthalmolepis lineolatus"
"20","spp52","Archetype1",0.983965734194712,"Parascyllium variolatum"
"21","spp54","Archetype1",0.998367871593566,"Parequula melbournensis"
"22","spp55","Archetype1",0.997658961021748,"Parma bicolor"
"23","spp57","Archetype1",0.996907246495553,"Pempheris klunzingeri"
"24","spp60","Archetype1",0.999681375936488,"Pseudolabrus biserialis"
"25","spp62","Archetype1",0.998143634467932,"Scobinichthys granulatus"
"26","spp63","Archetype1",0.997872398187011,"Scorpis aequipinnis"
"27","spp64","Archetype1",0.997810688024279,"Scorpis georgiana"
"28","spp67","Archetype1",0.998205940503599,"Siphonognathus caninis"
"29","spp68","Archetype1",0.99791489683935,"Sphyraena novaehollandiae"
"30","spp75","Archetype1",0.998972050251277,"Trygonoptera ovalis"
"31","spp77","Archetype1",0.999216983698335,"Upeneichthys vlamingii"
"32","spp5","Archetype2",0.999979343528125,"Asymbolus occiduus"
"33","spp10","Archetype2",0.999976090423453,"Callanthias australis"
"34","spp11","Archetype2",0.732664257199293,"Carcharhinus brevipinna"
"35","spp12","Archetype2",0.999961300012723,"Centroberyx australis"
"36","spp21","Archetype2",0.945090165828428,"Dinolestes lewini"
"37","spp22","Archetype2",0.995575354541161,"Enoplosus armatus"
"38","spp26","Archetype2",0.999979385117024,"Gerres sp1"
"39","spp27","Archetype2",0.999250783636163,"Gerres subfasciatus"
"40","spp31","Archetype2",0.95140165842259,"Kyphosus sydneyanus"
"41","spp36","Archetype2",0.947835261627551,"Meuschenia hippocrepis"
"42","spp45","Archetype2",0.999227989706837,"Neosebastes nigropunctatus"
"43","spp50","Archetype2",0.998735579784653,"Parapercis haackei"
"44","spp53","Archetype2",0.999979964149737,"Parequula elongata"
"45","spp58","Archetype2",0.999980211750618,"Pristiophorus cirratus"
"46","spp61","Archetype2",0.999699077379984,"Pterygotrigla polyommata"
"47","spp65","Archetype2",0.991475416524339,"Seriola hippos"
"48","spp69","Archetype2",0.999979299590044,"Squalus sp1"
"49","spp70","Archetype2",0.99048795412201,"Squalus spp"
"50","spp73","Archetype2",0.966607776808666,"Trachinops noarlungae"
"51","spp74","Archetype2",0.999978204239888,"Trachurus declivis"
"52","spp1","Archetype3",0.999999640346965,"Acanthaluteres brownii"
"53","spp4","Archetype3",0.999999992507441,"Anoplocapros lenticularis"
"54","spp7","Archetype3",1,"Bathytoshia brevicaudata"
"55","spp13","Archetype3",1,"Centroberyx gerrardi"
"56","spp14","Archetype3",1,"Centroberyx lineatus"
"57","spp19","Archetype3",1,"Chrysophrys auratus"
"58","spp20","Archetype3",1,"Coris auricularis"
"59","spp23","Archetype3",1,"Epinephelides armatus"
"60","spp25","Archetype3",1,"Furgaleus macki"
"61","spp32","Archetype3",1,"Latropiscis purpurissatus"
"62","spp34","Archetype3",0.999999999999858,"Meuschenia freycineti"
"63","spp37","Archetype3",1,"Meuschenia scaber"
"64","spp39","Archetype3",1,"Mustelus antarcticus"
"65","spp41","Archetype3",1,"Neatypus obliquus"
"66","spp42","Archetype3",1,"Nelusetta ayraud"
"67","spp43","Archetype3",1,"Nemadactylus valenciennesi"
"68","spp44","Archetype3",0.999999999996518,"Neosebastes bougainvillii"
"69","spp46","Archetype3",1,"Neosebastes pandus"
"70","spp49","Archetype3",1,"Oplegnathus woodwardi"
"71","spp51","Archetype3",1,"Parapercis ramsayi"
"72","spp56","Archetype3",1,"Parupeneus chrysopleuron"
"73","spp59","Archetype3",1,"Pseudocaranx spp"
"74","spp66","Archetype3",0.999999999988063,"Sillago spp"
"75","spp71","Archetype3",1,"Suezichthys bifurcatus"
"76","spp72","Archetype3",1,"Tilodon sexfasciatus"
"77","spp76","Archetype3",1,"Trygonorrhina dumerilii"
"78","spp78","Archetype3",0.999999999901235,"Urolophus circularis"
