"","new.names","archetype","prob","sp.names"
"1","spp9","Archetype1",0.999984822737542,"Caesioperca rasor"
"2","spp11","Archetype1",0.999984028030813,"Carcharhinus brevipinna"
"3","spp16","Archetype1",0.999926511977522,"Choerodon rubescens"
"4","spp18","Archetype1",0.999945982102607,"Chromis westaustralis"
"5","spp21","Archetype1",0.999887021610775,"Dinolestes lewini"
"6","spp30","Archetype1",0.99984424643599,"Hypoplectrodes nigroruber"
"7","spp31","Archetype1",0.999979473075805,"Kyphosus sydneyanus"
"8","spp33","Archetype1",0.999968791904711,"Meuschenia flavolineata"
"9","spp36","Archetype1",0.999989058372759,"Meuschenia hippocrepis"
"10","spp38","Archetype1",0.999969827174631,"Meuschenia venusta"
"11","spp47","Archetype1",0.999864399655273,"Notolabrus parilus"
"12","spp55","Archetype1",0.999798033643859,"Parma bicolor"
"13","spp57","Archetype1",0.999973761459422,"Pempheris klunzingeri"
"14","spp63","Archetype1",0.99998580063081,"Scorpis aequipinnis"
"15","spp64","Archetype1",0.999986512040251,"Scorpis georgiana"
"16","spp67","Archetype1",0.999917396785867,"Siphonognathus caninis"
"17","spp68","Archetype1",0.999869325081084,"Sphyraena novaehollandiae"
"18","spp73","Archetype1",0.999984827474353,"Trachinops noarlungae"
"19","spp1","Archetype2",1,"Acanthaluteres brownii"
"20","spp2","Archetype2",0.999999955625357,"Acanthaluteres vittiger"
"21","spp3","Archetype2",1,"Achoerodus gouldii"
"22","spp4","Archetype2",1,"Anoplocapros lenticularis"
"23","spp6","Archetype2",1,"Austrolabrus maculatus"
"24","spp7","Archetype2",1,"Bathytoshia brevicaudata"
"25","spp8","Archetype2",1,"Bodianus frenchii"
"26","spp13","Archetype2",1,"Centroberyx gerrardi"
"27","spp14","Archetype2",1,"Centroberyx lineatus"
"28","spp15","Archetype2",0.999999936501313,"Chelmonops curiosus"
"29","spp17","Archetype2",1,"Chromis klunzingeri"
"30","spp19","Archetype2",1,"Chrysophrys auratus"
"31","spp20","Archetype2",1,"Coris auricularis"
"32","spp22","Archetype2",1,"Enoplosus armatus"
"33","spp23","Archetype2",1,"Epinephelides armatus"
"34","spp24","Archetype2",1,"Eupetrichthys angustipes"
"35","spp25","Archetype2",1,"Furgaleus macki"
"36","spp28","Archetype2",1,"Glaucosoma hebraicum"
"37","spp29","Archetype2",0.999991296237815,"Heterodontus portusjacksoni"
"38","spp32","Archetype2",1,"Latropiscis purpurissatus"
"39","spp34","Archetype2",1,"Meuschenia freycineti"
"40","spp35","Archetype2",1,"Meuschenia galii"
"41","spp37","Archetype2",1,"Meuschenia scaber"
"42","spp39","Archetype2",1,"Mustelus antarcticus"
"43","spp40","Archetype2",0.999999925432237,"Myliobatis tenuicaudatus"
"44","spp41","Archetype2",1,"Neatypus obliquus"
"45","spp42","Archetype2",1,"Nelusetta ayraud"
"46","spp43","Archetype2",1,"Nemadactylus valenciennesi"
"47","spp44","Archetype2",1,"Neosebastes bougainvillii"
"48","spp46","Archetype2",1,"Neosebastes pandus"
"49","spp48","Archetype2",1,"Ophthalmolepis lineolatus"
"50","spp49","Archetype2",1,"Oplegnathus woodwardi"
"51","spp50","Archetype2",1,"Parapercis haackei"
"52","spp51","Archetype2",1,"Parapercis ramsayi"
"53","spp52","Archetype2",1,"Parascyllium variolatum"
"54","spp54","Archetype2",1,"Parequula melbournensis"
"55","spp56","Archetype2",1,"Parupeneus chrysopleuron"
"56","spp59","Archetype2",1,"Pseudocaranx spp"
"57","spp60","Archetype2",1,"Pseudolabrus biserialis"
"58","spp62","Archetype2",0.999999999905413,"Scobinichthys granulatus"
"59","spp65","Archetype2",1,"Seriola hippos"
"60","spp66","Archetype2",1,"Sillago spp"
"61","spp71","Archetype2",1,"Suezichthys bifurcatus"
"62","spp72","Archetype2",1,"Tilodon sexfasciatus"
"63","spp75","Archetype2",0.999999999804231,"Trygonoptera ovalis"
"64","spp76","Archetype2",1,"Trygonorrhina dumerilii"
"65","spp77","Archetype2",1,"Upeneichthys vlamingii"
"66","spp78","Archetype2",1,"Urolophus circularis"
"67","spp5","Archetype3",0.999939712930908,"Asymbolus occiduus"
"68","spp10","Archetype3",0.999837037929831,"Callanthias australis"
"69","spp12","Archetype3",0.999988325758526,"Centroberyx australis"
"70","spp26","Archetype3",0.999946590451867,"Gerres sp1"
"71","spp27","Archetype3",0.999768514035282,"Gerres subfasciatus"
"72","spp45","Archetype3",0.99987804247296,"Neosebastes nigropunctatus"
"73","spp53","Archetype3",0.999971669669173,"Parequula elongata"
"74","spp58","Archetype3",0.999939901620743,"Pristiophorus cirratus"
"75","spp61","Archetype3",0.999833857596177,"Pterygotrigla polyommata"
"76","spp69","Archetype3",0.999950329560997,"Squalus sp1"
"77","spp70","Archetype3",0.978581616591493,"Squalus spp"
"78","spp74","Archetype3",0.999938505548546,"Trachurus declivis"
