Longitude,Latitude,class,BRUVid,Sample
114.7788721,-34.07868897,MBH,1,IO1
114.7863721,-34.08618897,MBH,2,IO2
114.7838721,-34.07618897,MBH,3,IO3
114.7813721,-34.09118897,MBH,4,IO4
114.7763721,-34.08868897,MBH,5,IO5
114.4938721,-34.14868897,MBH,6,IO6
114.4888721,-34.13868897,MBH,7,IO7
114.4863721,-34.14618897,MBH,8,IO8
114.4838721,-34.13868897,MBH,9,IO9
114.7738721,-34.14368897,MBH,10,IO10
114.4863721,-34.10118897,MBH,11,IO11
114.4738721,-34.10368897,MBH,12,IO12
114.4788721,-34.10118897,MBH,13,IO13
114.8738721,-34.07118897,MBH,14,IO14
114.8663721,-34.06118897,MBH,15,IO15
114.8688721,-34.07368897,MBH,16,IO16
114.8763721,-34.06368897,MBH,17,IO17
114.8688721,-34.06868897,MBH,18,IO18
114.5288721,-34.12868897,MBH,19,IO19
114.5163721,-34.13118897,MBH,20,IO20
114.5288721,-34.13868897,MBH,21,IO21
114.5213721,-34.12868897,MBH,22,IO22
114.5188721,-34.13618897,MBH,23,IO23
114.5213721,-34.14118897,MBH,24,IO24
114.4788721,-34.11118897,MBH,25,IO25
114.4838721,-34.11118897,MBH,26,IO26
114.5063721,-34.08868897,MBH,27,IO27
114.5013721,-34.09118897,MBH,28,IO28
114.5088721,-34.09868897,MBH,28,IO28
114.8988721,-34.13368897,MBH,29,IO29
114.9063721,-34.12618897,MBH,30,IO30
114.9088721,-34.13118897,MBH,31,IO31
114.5888721,-34.08618897,MBH,32,IO32
114.6038721,-34.09118897,MBH,33,IO33
114.8713721,-34.06118897,MBH,34,IO34
114.8638721,-34.06618897,MBH,35,IO35
114.7188721,-34.10368897,MBH,36,IO36
114.7188721,-34.10868897,MBH,37,IO37
114.7113721,-34.09618897,MBH,38,IO38
114.7213721,-34.09868897,MBH,39,IO39
114.7138721,-34.10368897,MBH,40,IO40
114.5063721,-34.09368897,MBH,41,IO41
114.4788721,-34.13118897,MBH,42,IO42
114.4813721,-34.12118897,MBH,43,IO43
114.4913721,-34.12618897,MBH,44,IO44
114.6963721,-34.06368897,MBH,45,IO45
114.7113721,-34.06868897,MBH,46,IO46
114.7113721,-34.06368897,MBH,47,IO47
114.7038721,-34.06868897,MBH,48,IO48
114.7063721,-34.06118897,MBH,49,IO49
114.5963721,-34.08368897,MBH,50,IO50
114.5988721,-34.08868897,MBH,51,IO51
114.5913721,-34.09368897,MBH,52,IO52
114.6013721,-34.08368897,MBH,53,IO53
114.5938721,-34.08868897,MBH,54,IO54
114.5988721,-34.09368897,MBH,55,IO55
114.4888721,-34.11868897,MBH,56,IO56
114.4863721,-34.12618897,MBH,57,IO57
